obsah,datum
"Dňa 27.03.2024 bola v MPK zverejnená Správa o plnení úloh z Národného programu boja proti obchodovaniu s ľuďmi na roky 2019 – 2023. Cieľom predkladaného materiálu vrátane prílohy, je zabezpečiť...[MPK/Aktualizácia celkových početných stavov vojakov a zamestnancov](/?ros_monitoring_aktuality&sprava=mpk-aktualizacia-celkovych-pocetnych-stavov-vojakov-a-zamestnancov)",31. 03. 2024
"Dňa 26.03.2024 bol v MPK zverejnený návrh k Aktualizácii celkových početných stavov vojakov a zamestnancov a počtov hlavných druhov vojenských zbraní, vojenských zbraňových systémov a bojovej...[Poslanecký návrh predložený do NRSR/Zmena právnych predpisov neziskového sektora](/?ros_monitoring_aktuality&sprava=poslanecky-navrh-predlozeny-do-nrsr-zmena-pravnych-predpisov-neziskoveho-sektora)",31. 03. 2024
"Dňa 27.03.2024 bol do NRSR predložený návrh zákona, ktorým sa dopĺňa zákon č. 213/1997 Z. z. o neziskových organizáciách poskytujúcich všeobecne prospešné služby a ktorým sa...[MPK/Priame podpory po prijatí 1. modifikácie Strategického plánu spoločnej poľnohospodárskej politiky 2023 – 2027](/?ros_monitoring_aktuality&sprava=mpk-priame-podpory-po-prijati-1-modifikacie-strategickeho-planu-spolocnej-polnohospodarskej-politiky-2023-2027)",31. 03. 2024
"Dňa 22.03.2024 bol v MPK zverejnený návrh nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa nariadenie vlády Slovenskej republiky č....[MPK/Diplomatická konferencia o uzavretí medzinárodného právneho nástroja o duševnom vlastníctve a genetických zdrojoch](/?ros_monitoring_aktuality&sprava=mpk-diplomaticka-konferencia-o-uzavreti-medzinarodneho-pravneho-nastroja-o-dusevnom-vlastnictve-a-genetickych-zdrojoch)",31. 03. 2024
Dňa 22.03.2024 bol v MPK zverejnený návrh účasti delegácie Slovenskej republiky na Diplomatickej konferencii o uzavretí medzinárodného právneho nástroja o duševnom...[MPK/Vykonávanie zárobkovej činnosti rodinných príslušníkov členov diplomatickej misie alebo konzulárneho úradu na základe reciprocity](/?ros_monitoring_aktuality&sprava=mpk-vykonavanie-zarobkovej-cinnosti-rodinnych-prislusnikov-clenov-diplomatickej-misie-alebo-konzularneho-uradu-na-zaklade-reciprocity),31. 03. 2024
Dňa 22.03.2024 bol v MPK zverejnený návrh na uzavretie Dohody medzi vládou Slovenskej republiky a Kabinetom Ministrov Ukrajiny o vykonávaní...[PI/Zmena výpočtu príspevku štátu pre cirkvi](/?ros_monitoring_aktuality&sprava=pi-zmena-vypoctu-prispevku-statu-pre-cirkvi),31. 03. 2024
"Dňa 25.03.2024 bola zverejnená  predbežná informácia o návrhu zákona, ktorým sa mení a dopĺňa zákon č. 370/2019 Z. z. o finančnej podpore činnosti cirkví a náboženských...[PI/Zmeny druhu poľnohospodárskeho pozemku](/?ros_monitoring_aktuality&sprava=pi-zmeny-druhu-polnohospodarskeho-pozemku)",31. 03. 2024
"Dňa 22.03.2024 bol v MPK zverejnený návrh zákona, ktorým sa mení a dopĺňa zákon č. 329/2018 Z. z. o poplatkoch za uloženie odpadov a o zmene a&nbsp...[Nariadenie vlády SR/Príspevky za poskytnutie ubytovania odídencovi v súvislosti so situáciou na Ukrajine z Ministerstva dopravy](/?ros_monitoring_aktuality&sprava=nariadenie-vlady-sr-prispevky-za-poskytnutie-ubytovania-odidencovi-v-suvislosti-so-situaciou-na-ukrajine-z-ministerstva-dopravy)",31. 03. 2024
Dňa 20.03.2024 vláda schválila Návrh nariadenia vlády Slovenskej republiky o príspevku za poskytnutie ubytovania odídencovi v súvislosti so situáciou na Ukrajine. Návrh nariadenia vlády...[Nariadenie vlády SR/Príspevok za ubytovanie odídenca](/?ros_monitoring_aktuality&sprava=nariadenie-vlady-sr-prispevok-za-ubytovanie-odidenca),31. 03. 2024
"Dňa 20.03.2024 vláda schválila Návrh nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa nariadenie vlády Slovenskej republiky č. 218/2022 Z. z. o poskytovaní...[Nelegislatívny materiál/Vyjednávači a signatári Kolektívnej zmluvy vyššieho stupňa pre zamestnávateľov, ktorí pri odmeňovaní postupujú podľa zákona č. 553/2003 Z. z. o odmeňovaní niektorých zamestnancov pri výkone práce vo verejnom záujme na obdobie 01.09.2024 – 31.12.2025](/?ros_monitoring_aktuality&sprava=nelegislativny-material-vyjednavaci-a-signatari-kolektivnej-zmluvy-vyssieho-stupna-pre-zamestnavatelov-ktori-pri-odmenovani-postupuju-podla-zakona-c-553-2003-z-z-o-odmenovani-niektorych-zamestnancov-pri-vykone-prace-vo-verejnom-zaujme-na-obdobie-01-0)",31. 03. 2024
"Dňa 20.03.2024 vláda schválila Návrh na poverenie vyjednávačov a signatárov Kolektívnej zmluvy vyššieho stupňa pre zamestnávateľov, ktorí pri odmeňovaní postupujú podľa...[Nelegislatívny materiál/Vyhlásenie mimoriadnej situácie spôsobenej výskytom synantropných jedincov medveďa hnedého (Ursus arctos) v zastavaných územiach miest a obcí a v ich bezprostrednom okolí](/?ros_monitoring_aktuality&sprava=nelegislativny-material-vyhlasenie-mimoriadnej-situacie-sposobenej-vyskytom-synantropnych-jedincov-medveda-hnedeho-ursus-arctos-v-zastavanych-uzemiach-miest-a-obci-a-v-ich-bezprostrednom-okoli)",31. 03. 2024
Dňa 20.03.2024 vláda schválila Vyhlásenie mimoriadnej situácie spôsobenej výskytom synantropných jedincov medveďa hnedého (Ursus arctos) v zastavaných...[MPK/Národný program reforiem Slovenskej republiky 2024](/?ros_monitoring_aktuality&sprava=mpk-narodny-program-reforiem-slovenskej-republiky-2024),31. 03. 2024
"Dňa 22.03.2024 bol v MPK zverejnený návrh Národného programu reforiem Slovenskej republiky 2024. Cieľom je poskytnúť ucelený prehľad o realizovaných a plánovaných opatreniach, ktorými SR...[MPK/Podmienky určovania výšky ročnej úrokovej sadzby pri úveroch zo Štátneho fondu rozvoja bývania poskytovaných právnickým osobám](/?ros_monitoring_aktuality&sprava=mpk-podmienky-urcovania-vysky-rocnej-urokovej-sadzby-pri-uveroch-zo-statneho-fondu-rozvoja-byvania-poskytovanych-pravnickym-osobam)",31. 03. 2024
"Dňa 22.03.2024 bol v MPK zverejnený návrh vyhlášky Ministerstva dopravy Slovenskej republiky, ktorou sa mení a dopĺňa vyhláška Ministerstva dopravy, výstavby a regionálneho rozvoja...[PI/Elektronická podoba výkonu pôsobnosti orgánov verejnej moci](/?ros_monitoring_aktuality&sprava=pi-elektronicka-podoba-vykonu-posobnosti-organov-verejnej-moci-3)",31. 03. 2024
"Dňa 20.03.2024 vláda schválila Návrh nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa nariadenie vlády Slovenskej republiky č. 195/2018 Z. z., ktorým sa ustanovujú...[Nelegislatívny materiál/Systémové riešenie poskytovania a financovania dodatočných výdavkov súvisiacich s odídencami z Ukrajiny](/?ros_monitoring_aktuality&sprava=nelegislativny-material-systemove-riesenie-poskytovania-a-financovania-dodatocnych-vydavkov-suvisiacich-s-odidencami-z-ukrajiny)",31. 03. 2024
Dňa 22.03.2024 bola zverejnená predbežná informácia o návrhu vyhlášky Ministerstva dopravy Slovenskej republiky o regulácii cien nájmu bytov vo verejnom sektore. Cieľom...[PI/Cestná premávka](/?ros_monitoring_aktuality&sprava=pi-cestna-premavka-1),31. 03. 2024
