date,value,data_type
26.11.2014,2.6,heatdex
27.11.2014,3.3,heatdex
28.11.2014,2.4,heatdex
29.11.2014,4.3,heatdex
30.11.2014,2.5,heatdex
01.12.2014,3.4,heatdex
02.12.2014,1.7,heatdex
03.12.2014,1.7,heatdex
04.12.2014,1.7,heatdex
05.12.2014,5.8,heatdex
06.12.2014,6.0,heatdex
07.12.2014,5.9,heatdex
08.12.2014,5.3,heatdex
09.12.2014,5.3,heatdex
10.12.2014,2.1,heatdex
11.12.2014,3.1,heatdex
12.12.2014,3.8,heatdex
13.12.2014,3.9,heatdex
14.12.2014,3.2,heatdex
15.12.2014,4.6,heatdex
16.12.2014,6.8,heatdex
17.12.2014,7.3,heatdex
18.12.2014,6.3,heatdex
19.12.2014,7.7,heatdex
20.12.2014,8.0,heatdex
21.12.2014,4.5,heatdex
22.12.2014,8.4,heatdex
23.12.2014,9.7,heatdex
24.12.2014,10.6,heatdex
25.12.2014,7.2,heatdex
26.12.2014,3.1,heatdex
27.12.2014,-2.1,heatdex
28.12.2014,-0.9,heatdex
29.12.2014,-2.5,heatdex
30.12.2014,-4.6,heatdex
31.12.2014,-5.9,heatdex
01.01.2015,-1.9,heatdex
02.01.2015,-1.2,heatdex
03.01.2015,2.7,heatdex
04.01.2015,2.1,heatdex
05.01.2015,-0.3,heatdex
06.01.2015,-0.8,heatdex
07.01.2015,-10.2,heatdex
08.01.2015,2.1,heatdex
09.01.2015,2.6,heatdex
10.01.2015,8.2,heatdex
11.01.2015,7.4,heatdex
12.01.2015,2.5,heatdex
13.01.2015,4.9,heatdex
14.01.2015,3.0,heatdex
15.01.2015,3.5,heatdex
16.01.2015,8.0,heatdex
17.01.2015,3.4,heatdex
18.01.2015,3.7,heatdex
19.01.2015,5.0,heatdex
20.01.2015,3.0,heatdex
21.01.2015,3.2,heatdex
22.01.2015,3.0,heatdex
23.01.2015,3.7,heatdex
24.01.2015,3.0,heatdex
25.01.2015,1.5,heatdex
26.01.2015,-0.2,heatdex
27.01.2015,-1.5,heatdex
28.01.2015,0.4,heatdex
29.01.2015,-1.4,heatdex
30.01.2015,-0.5,heatdex
31.01.2015,-1.3,heatdex
01.02.2015,-4.3,heatdex
02.02.2015,-1.3,heatdex
03.02.2015,-5.0,heatdex
04.02.2015,-1.5,heatdex
05.02.2015,-4.6,heatdex
06.02.2015,-1.4,heatdex
07.02.2015,-1.6,heatdex
08.02.2015,-1.2,heatdex
09.02.2015,-4.1,heatdex
10.02.2015,2.9,heatdex
11.02.2015,3.1,heatdex
12.02.2015,1.9,heatdex
13.02.2015,3.6,heatdex
14.02.2015,3.6,heatdex
15.02.2015,3.6,heatdex
16.02.2015,4.6,heatdex
17.02.2015,0.0,heatdex
18.02.2015,1.2,heatdex
19.02.2015,3.2,heatdex
20.02.2015,5.6,heatdex
21.02.2015,3.7,heatdex
22.02.2015,6.2,heatdex
23.02.2015,3.4,heatdex
24.02.2015,3.0,heatdex
25.02.2015,8.0,heatdex
26.02.2015,7.3,heatdex
27.02.2015,4.3,heatdex
28.02.2015,6.7,heatdex
01.03.2015,5.4,heatdex
02.03.2015,1.7,heatdex
03.03.2015,2.7,heatdex
04.03.2015,2.8,heatdex
05.03.2015,5.0,heatdex
06.03.2015,4.2,heatdex
07.03.2015,7.2,heatdex
08.03.2015,8.7,heatdex
09.03.2015,9.0,heatdex
10.03.2015,11.9,heatdex
11.03.2015,9.9,heatdex
12.03.2015,5.2,heatdex
13.03.2015,7.7,heatdex
14.03.2015,3.7,heatdex
15.03.2015,8.5,heatdex
16.03.2015,9.8,heatdex
17.03.2015,12.8,heatdex
18.03.2015,9.4,heatdex
19.03.2015,8.6,heatdex
20.03.2015,7.0,heatdex
21.03.2015,11.0,heatdex
22.03.2015,9.5,heatdex
23.03.2015,9.6,heatdex
24.03.2015,11.7,heatdex
25.03.2015,13.6,heatdex
26.03.2015,9.7,heatdex
27.03.2015,13.2,heatdex
28.03.2015,7.4,heatdex
29.03.2015,9.6,heatdex
30.03.2015,8.6,heatdex
31.03.2015,2.6,heatdex
01.04.2015,2.5,heatdex
02.04.2015,0.8,heatdex
03.04.2015,2.5,heatdex
04.04.2015,4.9,heatdex
05.04.2015,4.4,heatdex
06.04.2015,3.1,heatdex
07.04.2015,5.4,heatdex
08.04.2015,8.2,heatdex
09.04.2015,13.0,heatdex
10.04.2015,14.6,heatdex
11.04.2015,16.4,heatdex
12.04.2015,16.4,heatdex
13.04.2015,15.9,heatdex
14.04.2015,10.3,heatdex
15.04.2015,17.2,heatdex
16.04.2015,20.2,heatdex
17.04.2015,10.5,heatdex
18.04.2015,6.6,heatdex
19.04.2015,8.7,heatdex
20.04.2015,10.0,heatdex
21.04.2015,12.9,heatdex
22.04.2015,15.8,heatdex
23.04.2015,17.0,heatdex
24.04.2015,18.4,heatdex
25.04.2015,18.6,heatdex
26.04.2015,18.7,heatdex
27.04.2015,18.8,heatdex
28.04.2015,14.4,heatdex
29.04.2015,13.5,heatdex
30.04.2015,14.0,heatdex
01.05.2015,12.2,heatdex
02.05.2015,12.4,heatdex
03.05.2015,13.4,heatdex
04.05.2015,28.2,heatdex
05.05.2015,18.4,heatdex
06.05.2015,25.1,heatdex
07.05.2015,20.4,heatdex
08.05.2015,20.5,heatdex
09.05.2015,19.0,heatdex
10.05.2015,17.0,heatdex
11.05.2015,19.3,heatdex
12.05.2015,20.6,heatdex
13.05.2015,21.7,heatdex
14.05.2015,16.6,heatdex
15.05.2015,17.2,heatdex
16.05.2015,21.1,heatdex
17.05.2015,18.1,heatdex
18.05.2015,20.2,heatdex
19.05.2015,25.0,heatdex
20.05.2015,23.6,heatdex
21.05.2015,16.6,heatdex
22.05.2015,16.9,heatdex
23.05.2015,20.6,heatdex
24.05.2015,21.1,heatdex
25.05.2015,20.7,heatdex
26.05.2015,17.7,heatdex
27.05.2015,14.1,heatdex
28.05.2015,16.4,heatdex
29.05.2015,21.5,heatdex
30.05.2015,22.4,heatdex
31.05.2015,21.5,heatdex
01.06.2015,22.6,heatdex
02.06.2015,22.7,heatdex
03.06.2015,26.1,heatdex
04.06.2015,27.5,heatdex
05.06.2015,25.8,heatdex
06.06.2015,26.6,heatdex
07.06.2015,27.8,heatdex
08.06.2015,27.6,heatdex
09.06.2015,26.6,heatdex
10.06.2015,26.6,heatdex
11.06.2015,26.4,heatdex
12.06.2015,27.2,heatdex
13.06.2015,27.8,heatdex
