date,value,data_type
26.11.2014,0.6,highapp
27.11.2014,0.6,highapp
28.11.2014,0.4,highapp
29.11.2014,2.6,highapp
30.11.2014,0.2,highapp
01.12.2014,1.5,highapp
02.12.2014,-0.1,highapp
03.12.2014,-0.1,highapp
04.12.2014,-0.1,highapp
05.12.2014,4.4,highapp
06.12.2014,4.9,highapp
07.12.2014,4.2,highapp
08.12.2014,3.4,highapp
09.12.2014,3.1,highapp
10.12.2014,-0.4,highapp
11.12.2014,0.8,highapp
12.12.2014,1.7,highapp
13.12.2014,1.8,highapp
14.12.2014,1.1,highapp
15.12.2014,2.8,highapp
16.12.2014,5.3,highapp
17.12.2014,4.6,highapp
18.12.2014,4.3,highapp
19.12.2014,6.4,highapp
20.12.2014,5.4,highapp
21.12.2014,0.6,highapp
22.12.2014,4.5,highapp
23.12.2014,6.3,highapp
24.12.2014,5.5,highapp
25.12.2014,4.4,highapp
26.12.2014,-0.4,highapp
27.12.2014,-5.3,highapp
28.12.2014,-4.4,highapp
29.12.2014,-7.0,highapp
30.12.2014,-8.6,highapp
31.12.2014,-10.0,highapp
01.01.2015,-5.5,highapp
02.01.2015,-4.2,highapp
03.01.2015,-1.4,highapp
04.01.2015,-2.6,highapp
05.01.2015,-4.7,highapp
06.01.2015,-5.5,highapp
07.01.2015,-13.9,highapp
08.01.2015,-1.5,highapp
09.01.2015,-1.0,highapp
10.01.2015,5.3,highapp
11.01.2015,3.5,highapp
12.01.2015,-1.2,highapp
13.01.2015,1.9,highapp
14.01.2015,0.4,highapp
15.01.2015,0.9,highapp
16.01.2015,3.9,highapp
17.01.2015,1.2,highapp
18.01.2015,1.2,highapp
19.01.2015,2.9,highapp
20.01.2015,0.5,highapp
21.01.2015,0.8,highapp
22.01.2015,1.0,highapp
23.01.2015,1.6,highapp
24.01.2015,-0.2,highapp
25.01.2015,-1.9,highapp
26.01.2015,-3.2,highapp
27.01.2015,-4.3,highapp
28.01.2015,-3.2,highapp
29.01.2015,-4.7,highapp
30.01.2015,-3.1,highapp
31.01.2015,-3.9,highapp
01.02.2015,-7.4,highapp
02.02.2015,-4.1,highapp
03.02.2015,-8.6,highapp
04.02.2015,-4.5,highapp
05.02.2015,-7.8,highapp
06.02.2015,-6.5,highapp
07.02.2015,-5.0,highapp
08.02.2015,-5.5,highapp
09.02.2015,-7.5,highapp
10.02.2015,0.1,highapp
11.02.2015,0.4,highapp
12.02.2015,-1.0,highapp
13.02.2015,0.3,highapp
14.02.2015,0.3,highapp
15.02.2015,0.3,highapp
16.02.2015,1.1,highapp
17.02.2015,-4.0,highapp
18.02.2015,-3.3,highapp
19.02.2015,-0.9,highapp
20.02.2015,1.8,highapp
21.02.2015,0.6,highapp
22.02.2015,3.3,highapp
23.02.2015,1.2,highapp
24.02.2015,0.7,highapp
25.02.2015,5.5,highapp
