date,value,data_type
26.11.2014,0.6,highdew
27.11.2014,0.5,highdew
28.11.2014,0.5,highdew
29.11.2014,2.0,highdew
30.11.2014,-0.5,highdew
01.12.2014,1.1,highdew
02.12.2014,1.3,highdew
03.12.2014,1.3,highdew
04.12.2014,1.3,highdew
05.12.2014,3.6,highdew
06.12.2014,5.2,highdew
07.12.2014,4.8,highdew
08.12.2014,1.8,highdew
09.12.2014,0.6,highdew
10.12.2014,-3.6,highdew
11.12.2014,-1.8,highdew
12.12.2014,0.4,highdew
13.12.2014,-0.7,highdew
14.12.2014,-0.3,highdew
15.12.2014,1.5,highdew
16.12.2014,3.2,highdew
17.12.2014,3.3,highdew
18.12.2014,1.1,highdew
19.12.2014,3.9,highdew
20.12.2014,4.7,highdew
21.12.2014,-1.8,highdew
22.12.2014,0.8,highdew
23.12.2014,2.2,highdew
24.12.2014,-0.7,highdew
25.12.2014,0.7,highdew
26.12.2014,-3.9,highdew
27.12.2014,-11.0,highdew
28.12.2014,-9.3,highdew
29.12.2014,-16.3,highdew
30.12.2014,-20.1,highdew
31.12.2014,-20.1,highdew
01.01.2015,-14.2,highdew
02.01.2015,-7.2,highdew
03.01.2015,-6.2,highdew
04.01.2015,-6.6,highdew
05.01.2015,-8.2,highdew
06.01.2015,-13.2,highdew
07.01.2015,-23.7,highdew
08.01.2015,-12.3,highdew
09.01.2015,-1.2,highdew
10.01.2015,3.2,highdew
11.01.2015,2.5,highdew
12.01.2015,-3.9,highdew
13.01.2015,-3.6,highdew
14.01.2015,-3.9,highdew
15.01.2015,-4.0,highdew
16.01.2015,-2.9,highdew
17.01.2015,-1.7,highdew
18.01.2015,-0.9,highdew
19.01.2015,-0.5,highdew
20.01.2015,-1.7,highdew
21.01.2015,-2.0,highdew
22.01.2015,-0.4,highdew
23.01.2015,-1.0,highdew
24.01.2015,-2.6,highdew
25.01.2015,-4.2,highdew
26.01.2015,-6.5,highdew
27.01.2015,-7.4,highdew
28.01.2015,-8.3,highdew
29.01.2015,-8.1,highdew
30.01.2015,-4.6,highdew
31.01.2015,-5.1,highdew
01.02.2015,-11.3,highdew
02.02.2015,-6.5,highdew
03.02.2015,-11.4,highdew
04.02.2015,-6.7,highdew
05.02.2015,-12.0,highdew
06.02.2015,-13.7,highdew
07.02.2015,-14.0,highdew
08.02.2015,-9.2,highdew
09.02.2015,-11.2,highdew
10.02.2015,-5.7,highdew
11.02.2015,-5.0,highdew
