date,value,data_type
26.11.2014,0.1,lowdew
27.11.2014,-5.2,lowdew
28.11.2014,-4.5,lowdew
29.11.2014,-1.9,lowdew
30.11.2014,-5.7,lowdew
01.12.2014,-4.3,lowdew
02.12.2014,0.9,lowdew
03.12.2014,1.3,lowdew
04.12.2014,1.3,lowdew
05.12.2014,-1.4,lowdew
06.12.2014,1.7,lowdew
07.12.2014,-1.0,lowdew
08.12.2014,-2.0,lowdew
09.12.2014,-5.7,lowdew
10.12.2014,-7.5,lowdew
11.12.2014,-6.4,lowdew
12.12.2014,-4.0,lowdew
13.12.2014,-6.3,lowdew
14.12.2014,-3.5,lowdew
15.12.2014,-1.1,lowdew
16.12.2014,1.1,lowdew
17.12.2014,-4.5,lowdew
18.12.2014,-3.6,lowdew
19.12.2014,-1.8,lowdew
20.12.2014,-6.6,lowdew
21.12.2014,-6.9,lowdew
22.12.2014,-5.6,lowdew
23.12.2014,-1.6,lowdew
24.12.2014,-10.7,lowdew
25.12.2014,-10.9,lowdew
26.12.2014,-15.6,lowdew
27.12.2014,-14.9,lowdew
28.12.2014,-18.0,lowdew
29.12.2014,-27.3,lowdew
30.12.2014,-25.3,lowdew
31.12.2014,-25.6,lowdew
01.01.2015,-20.4,lowdew
02.01.2015,-17.8,lowdew
03.01.2015,-10.6,lowdew
04.01.2015,-12.8,lowdew
05.01.2015,-15.5,lowdew
06.01.2015,-28.7,lowdew
07.01.2015,-23.7,lowdew
08.01.2015,-23.7,lowdew
09.01.2015,-13.3,lowdew
10.01.2015,-2.5,lowdew
11.01.2015,-23.9,lowdew
12.01.2015,-8.6,lowdew
13.01.2015,-10.4,lowdew
14.01.2015,-12.2,lowdew
15.01.2015,-7.6,lowdew
16.01.2015,-9.4,lowdew
17.01.2015,-6.0,lowdew
18.01.2015,-4.2,lowdew
19.01.2015,-19.0,lowdew
20.01.2015,-5.9,lowdew
21.01.2015,-5.8,lowdew
22.01.2015,-4.5,lowdew
23.01.2015,-4.3,lowdew
24.01.2015,-7.6,lowdew
25.01.2015,-8.0,lowdew
26.01.2015,-8.5,lowdew
27.01.2015,-11.5,lowdew
28.01.2015,-11.1,lowdew
29.01.2015,-10.3,lowdew
30.01.2015,-9.3,lowdew
31.01.2015,-15.0,lowdew
01.02.2015,-16.8,lowdew
02.02.2015,-17.9,lowdew
03.02.2015,-18.2,lowdew
04.02.2015,-14.1,lowdew
05.02.2015,-19.5,lowdew
06.02.2015,-22.2,lowdew
07.02.2015,-24.9,lowdew
08.02.2015,-21.2,lowdew
09.02.2015,-21.1,lowdew
10.02.2015,-12.0,lowdew
11.02.2015,-11.4,lowdew
12.02.2015,-7.5,lowdew
13.02.2015,-11.9,lowdew
14.02.2015,-11.9,lowdew
15.02.2015,-11.9,lowdew
