date,value,data_type
26.11.2014,1017.0,maxpres
27.11.2014,1015.9,maxpres
28.11.2014,1015.0,maxpres
29.11.2014,1015.0,maxpres
30.11.2014,1014.2,maxpres
01.12.2014,1012.4,maxpres
02.12.2014,1012.5,maxpres
03.12.2014,1017.0,maxpres
04.12.2014,1017.1,maxpres
05.12.2014,1016.6,maxpres
06.12.2014,1014.4,maxpres
07.12.2014,1012.0,maxpres
08.12.2014,1011.4,maxpres
09.12.2014,1017.3,maxpres
10.12.2014,1017.6,maxpres
11.12.2014,1012.8,maxpres
12.12.2014,1012.6,maxpres
13.12.2014,1014.5,maxpres
14.12.2014,1016.4,maxpres
15.12.2014,1016.5,maxpres
16.12.2014,1013.7,maxpres
17.12.2014,1008.6,maxpres
18.12.2014,1013.1,maxpres
19.12.2014,1012.7,maxpres
20.12.2014,1013.1,maxpres
21.12.2014,1019.9,maxpres
22.12.2014,1018.5,maxpres
23.12.2014,1012.2,maxpres
24.12.2014,1013.6,maxpres
25.12.2014,1013.3,maxpres
26.12.2014,1013.8,maxpres
27.12.2014,1013.2,maxpres
28.12.2014,1010.6,maxpres
29.12.2014,1018.4,maxpres
30.12.2014,1025.0,maxpres
31.12.2014,1027.7,maxpres
01.01.2015,1026.5,maxpres
02.01.2015,1025.4,maxpres
03.01.2015,1018.3,maxpres
04.01.2015,1012.4,maxpres
05.01.2015,1015.8,maxpres
06.01.2015,1023.6,maxpres
07.01.2015,1026.8,maxpres
08.01.2015,1026.9,maxpres
09.01.2015,1021.7,maxpres
10.01.2015,1003.8,maxpres
11.01.2015,1009.3,maxpres
12.01.2015,1017.0,maxpres
13.01.2015,1017.9,maxpres
14.01.2015,1015.8,maxpres
15.01.2015,1015.2,maxpres
16.01.2015,1015.1,maxpres
17.01.2015,1012.2,maxpres
18.01.2015,1013.2,maxpres
19.01.2015,1031.2,maxpres
20.01.2015,1013.2,maxpres
21.01.2015,1015.7,maxpres
22.01.2015,1015.5,maxpres
23.01.2015,1015.0,maxpres
24.01.2015,1012.6,maxpres
25.01.2015,1019.0,maxpres
26.01.2015,1021.6,maxpres
27.01.2015,1017.1,maxpres
28.01.2015,1015.5,maxpres
29.01.2015,1006.7,maxpres
30.01.2015,993.6,maxpres
31.01.2015,992.0,maxpres
01.02.2015,995.2,maxpres
02.02.2015,1000.4,maxpres
03.02.2015,1007.6,maxpres
04.02.2015,1013.6,maxpres
05.02.2015,1019.3,maxpres
06.02.2015,1019.6,maxpres
07.02.2015,1022.5,maxpres
08.02.2015,1012.9,maxpres
09.02.2015,1014.7,maxpres
10.02.2015,1023.4,maxpres
11.02.2015,1026.0,maxpres
12.02.2015,1027.3,maxpres
13.02.2015,1026.7,maxpres
14.02.2015,1027.3,maxpres
15.02.2015,1027.6,maxpres
16.02.2015,1029.2,maxpres
17.02.2015,1038.1,maxpres
18.02.2015,1038.9,maxpres
19.02.2015,1033.9,maxpres
20.02.2015,1025.2,maxpres
21.02.2015,1017.3,maxpres
22.02.2015,1010.0,maxpres
23.02.2015,1009.7,maxpres
24.02.2015,1009.5,maxpres
25.02.2015,1014.3,maxpres
26.02.2015,1016.9,maxpres
27.02.2015,1016.2,maxpres
28.02.2015,1018.4,maxpres
01.03.2015,1017.7,maxpres
02.03.2015,1011.0,maxpres
03.03.2015,1022.6,maxpres
04.03.2015,1025.0,maxpres
05.03.2015,1028.4,maxpres
06.03.2015,1032.9,maxpres
07.03.2015,1034.2,maxpres
08.03.2015,1033.4,maxpres
