date,value,data_type
26.11.2014,84.0,minhum
27.11.2014,68.0,minhum
28.11.2014,79.0,minhum
29.11.2014,83.0,minhum
30.11.2014,75.0,minhum
01.12.2014,73.0,minhum
02.12.2014,96.0,minhum
03.12.2014,97.0,minhum
04.12.2014,97.0,minhum
05.12.2014,40.0,minhum
06.12.2014,92.0,minhum
07.12.2014,74.0,minhum
08.12.2014,74.0,minhum
09.12.2014,54.0,minhum
10.12.2014,64.0,minhum
11.12.2014,65.0,minhum
12.12.2014,72.0,minhum
13.12.2014,67.0,minhum
14.12.2014,72.0,minhum
15.12.2014,75.0,minhum
16.12.2014,77.0,minhum
17.12.2014,40.0,minhum
18.12.2014,68.0,minhum
19.12.2014,74.0,minhum
20.12.2014,38.0,minhum
21.12.2014,45.0,minhum
22.12.2014,56.0,minhum
23.12.2014,51.0,minhum
24.12.2014,22.0,minhum
25.12.2014,37.0,minhum
26.12.2014,37.0,minhum
27.12.2014,45.0,minhum
28.12.2014,31.0,minhum
29.12.2014,30.0,minhum
30.12.2014,35.0,minhum
31.12.2014,27.0,minhum
01.01.2015,33.0,minhum
02.01.2015,50.0,minhum
03.01.2015,39.0,minhum
04.01.2015,37.0,minhum
05.01.2015,30.0,minhum
06.01.2015,40.0,minhum
07.01.2015,32.0,minhum
08.01.2015,15.0,minhum
09.01.2015,57.0,minhum
10.01.2015,62.0,minhum
11.01.2015,10.0,minhum
12.01.2015,54.0,minhum
13.01.2015,48.0,minhum
14.01.2015,58.0,minhum
15.01.2015,55.0,minhum
16.01.2015,28.0,minhum
17.01.2015,68.0,minhum
18.01.2015,0.0,minhum
19.01.2015,27.0,minhum
20.01.2015,61.0,minhum
21.01.2015,68.0,minhum
22.01.2015,70.0,minhum
23.01.2015,71.0,minhum
24.01.2015,52.0,minhum
25.01.2015,55.0,minhum
26.01.2015,54.0,minhum
27.01.2015,59.0,minhum
28.01.2015,43.0,minhum
29.01.2015,53.0,minhum
30.01.2015,65.0,minhum
31.01.2015,52.0,minhum
01.02.2015,57.0,minhum
02.02.2015,58.0,minhum
03.02.2015,57.0,minhum
04.02.2015,59.0,minhum
05.02.2015,53.0,minhum
06.02.2015,28.0,minhum
07.02.2015,37.0,minhum
08.02.2015,27.0,minhum
09.02.2015,29.0,minhum
10.02.2015,51.0,minhum
11.02.2015,52.0,minhum
12.02.2015,60.0,minhum
13.02.2015,37.0,minhum
14.02.2015,37.0,minhum
15.02.2015,35.0,minhum
