date,value,data_type
26.11.2014,2.2,mintemp
27.11.2014,-2.4,mintemp
28.11.2014,-1.8,mintemp
29.11.2014,-0.5,mintemp
30.11.2014,-2.7,mintemp
01.12.2014,-0.2,mintemp
02.12.2014,1.5,mintemp
03.12.2014,1.7,mintemp
04.12.2014,1.7,mintemp
05.12.2014,0.0,mintemp
06.12.2014,2.9,mintemp
07.12.2014,2.6,mintemp
08.12.2014,2.0,mintemp
09.12.2014,-0.8,mintemp
10.12.2014,-3.1,mintemp
11.12.2014,-2.6,mintemp
12.12.2014,-1.0,mintemp
13.12.2014,-2.3,mintemp
14.12.2014,-0.1,mintemp
15.12.2014,2.7,mintemp
16.12.2014,4.1,mintemp
17.12.2014,-0.3,mintemp
18.12.2014,0.3,mintemp
19.12.2014,2.3,mintemp
20.12.2014,2.4,mintemp
21.12.2014,1.0,mintemp
22.12.2014,2.1,mintemp
23.12.2014,5.9,mintemp
24.12.2014,-0.3,mintemp
25.12.2014,-1.0,mintemp
26.12.2014,-4.8,mintemp
27.12.2014,-6.4,mintemp
28.12.2014,-5.3,mintemp
29.12.2014,-8.0,mintemp
30.12.2014,-14.5,mintemp
31.12.2014,-14.8,mintemp
01.01.2015,-8.1,mintemp
02.01.2015,-9.3,mintemp
03.01.2015,-3.6,mintemp
04.01.2015,-3.0,mintemp
05.01.2015,-13.2,mintemp
06.01.2015,-10.2,mintemp
07.01.2015,-10.2,mintemp
08.01.2015,-10.2,mintemp
09.01.2015,-7.8,mintemp
10.01.2015,0.9,mintemp
11.01.2015,-1.7,mintemp
12.01.2015,-1.8,mintemp
13.01.2015,-5.5,mintemp
14.01.2015,-7.1,mintemp
15.01.2015,-3.3,mintemp
16.01.2015,-1.9,mintemp
17.01.2015,-2.3,mintemp
18.01.2015,0.2,mintemp
19.01.2015,-2.6,mintemp
20.01.2015,-1.2,mintemp
21.01.2015,-1.2,mintemp
22.01.2015,0.1,mintemp
23.01.2015,-0.1,mintemp
24.01.2015,0.4,mintemp
25.01.2015,-2.6,mintemp
26.01.2015,-2.6,mintemp
27.01.2015,-5.1,mintemp
28.01.2015,-4.9,mintemp
29.01.2015,-3.7,mintemp
30.01.2015,-4.0,mintemp
31.01.2015,-9.0,mintemp
01.02.2015,-10.4,mintemp
02.02.2015,-12.0,mintemp
03.02.2015,-12.3,mintemp
04.02.2015,-8.6,mintemp
05.02.2015,-13.8,mintemp
06.02.2015,-14.3,mintemp
07.02.2015,-16.1,mintemp
08.02.2015,-12.2,mintemp
09.02.2015,-6.4,mintemp
10.02.2015,-5.3,mintemp
11.02.2015,-6.5,mintemp
12.02.2015,-2.1,mintemp
13.02.2015,-6.7,mintemp
14.02.2015,-6.7,mintemp
15.02.2015,-6.7,mintemp
16.02.2015,-8.6,mintemp
17.02.2015,-12.6,mintemp
18.02.2015,-16.5,mintemp
19.02.2015,-12.3,mintemp
20.02.2015,-6.7,mintemp
21.02.2015,-7.9,mintemp
22.02.2015,-3.3,mintemp
23.02.2015,-0.2,mintemp
24.02.2015,0.1,mintemp
25.02.2015,-0.6,mintemp
26.02.2015,0.7,mintemp
27.02.2015,-0.6,mintemp
28.02.2015,-0.7,mintemp
01.03.2015,0.7,mintemp
02.03.2015,-1.5,mintemp
03.03.2015,-4.5,mintemp
04.03.2015,-6.2,mintemp
05.03.2015,-6.8,mintemp
06.03.2015,-6.2,mintemp
07.03.2015,-8.5,mintemp
08.03.2015,-7.3,mintemp
09.03.2015,-6.8,mintemp
10.03.2015,-5.9,mintemp
11.03.2015,-5.3,mintemp
12.03.2015,-0.4,mintemp
13.03.2015,0.1,mintemp
14.03.2015,0.0,mintemp
15.03.2015,0.3,mintemp
16.03.2015,-1.8,mintemp
17.03.2015,-4.2,mintemp
18.03.2015,-5.1,mintemp
19.03.2015,-5.9,mintemp
20.03.2015,-5.9,mintemp
21.03.2015,-6.4,mintemp
22.03.2015,-1.5,mintemp
23.03.2015,-3.2,mintemp
24.03.2015,-4.9,mintemp
25.03.2015,2.9,mintemp
26.03.2015,5.1,mintemp
27.03.2015,4.2,mintemp
28.03.2015,-1.6,mintemp
29.03.2015,-2.7,mintemp
30.03.2015,2.3,mintemp
31.03.2015,-1.6,mintemp
01.04.2015,-1.4,mintemp
02.04.2015,-4.6,mintemp
03.04.2015,-3.1,mintemp
04.04.2015,-5.7,mintemp
05.04.2015,-6.1,mintemp
06.04.2015,-6.4,mintemp
07.04.2015,-3.0,mintemp
08.04.2015,1.5,mintemp
09.04.2015,-3.2,mintemp
10.04.2015,-2.8,mintemp
11.04.2015,-3.2,mintemp
12.04.2015,-0.6,mintemp
13.04.2015,0.0,mintemp
14.04.2015,1.3,mintemp
15.04.2015,0.6,mintemp
16.04.2015,0.4,mintemp
17.04.2015,4.8,mintemp
18.04.2015,1.7,mintemp
19.04.2015,-1.8,mintemp
20.04.2015,0.6,mintemp
21.04.2015,-2.4,mintemp
22.04.2015,0.6,mintemp
23.04.2015,-1.0,mintemp
24.04.2015,0.2,mintemp
25.04.2015,0.7,mintemp
26.04.2015,3.6,mintemp
27.04.2015,3.5,mintemp
28.04.2015,6.9,mintemp
29.04.2015,5.1,mintemp
30.04.2015,3.0,mintemp
01.05.2015,0.4,mintemp
02.05.2015,3.1,mintemp
03.05.2015,1.0,mintemp
04.05.2015,6.7,mintemp
05.05.2015,9.6,mintemp
06.05.2015,9.7,mintemp
07.05.2015,8.1,mintemp
08.05.2015,3.2,mintemp
09.05.2015,9.7,mintemp
10.05.2015,8.3,mintemp
11.05.2015,4.8,mintemp
12.05.2015,3.3,mintemp
13.05.2015,8.0,mintemp
14.05.2015,5.3,mintemp
15.05.2015,1.4,mintemp
16.05.2015,4.8,mintemp
17.05.2015,7.8,mintemp
18.05.2015,3.0,mintemp
19.05.2015,10.9,mintemp
20.05.2015,12.4,mintemp
21.05.2015,11.5,mintemp
22.05.2015,10.7,mintemp
23.05.2015,10.7,mintemp
24.05.2015,10.0,mintemp
25.05.2015,7.7,mintemp
26.05.2015,12.4,mintemp
27.05.2015,9.1,mintemp
28.05.2015,7.4,mintemp
29.05.2015,3.2,mintemp
30.05.2015,7.5,mintemp
31.05.2015,11.8,mintemp
01.06.2015,8.3,mintemp
02.06.2015,12.0,mintemp
03.06.2015,12.0,mintemp
04.06.2015,15.8,mintemp
05.06.2015,11.2,mintemp
06.06.2015,8.7,mintemp
07.06.2015,11.5,mintemp
08.06.2015,13.4,mintemp
09.06.2015,14.6,mintemp
10.06.2015,11.8,mintemp
11.06.2015,13.6,mintemp
12.06.2015,14.1,mintemp
13.06.2015,14.2,mintemp
14.06.2015,15.9,mintemp
15.06.2015,16.3,mintemp
16.06.2015,12.8,mintemp
17.06.2015,8.7,mintemp
18.06.2015,5.1,mintemp
19.06.2015,9.8,mintemp
20.06.2015,7.4,mintemp
21.06.2015,8.9,mintemp
22.06.2015,5.4,mintemp
23.06.2015,10.1,mintemp
24.06.2015,9.4,mintemp
25.06.2015,8.0,mintemp
26.06.2015,11.4,mintemp
27.06.2015,9.3,mintemp
28.06.2015,14.2,mintemp
29.06.2015,13.9,mintemp
30.06.2015,10.4,mintemp
01.07.2015,10.7,mintemp
02.07.2015,12.5,mintemp
03.07.2015,16.1,mintemp
04.07.2015,11.2,mintemp
05.07.2015,13.5,mintemp
06.07.2015,15.7,mintemp
