date,value,data_type
26.11.2014,0.0,rainhour
27.11.2014,0.0,rainhour
28.11.2014,0.0,rainhour
29.11.2014,0.0,rainhour
30.11.2014,0.0,rainhour
01.12.2014,0.0,rainhour
02.12.2014,0.0,rainhour
03.12.2014,0.0,rainhour
04.12.2014,0.0,rainhour
05.12.2014,0.0,rainhour
06.12.2014,0.0,rainhour
07.12.2014,0.0,rainhour
08.12.2014,0.0,rainhour
09.12.2014,0.0,rainhour
10.12.2014,0.0,rainhour
11.12.2014,0.0,rainhour
12.12.2014,0.0,rainhour
13.12.2014,0.0,rainhour
14.12.2014,0.0,rainhour
15.12.2014,0.0,rainhour
16.12.2014,0.0,rainhour
17.12.2014,0.0,rainhour
18.12.2014,0.0,rainhour
19.12.2014,0.0,rainhour
20.12.2014,0.0,rainhour
21.12.2014,0.0,rainhour
22.12.2014,0.0,rainhour
23.12.2014,0.0,rainhour
24.12.2014,0.0,rainhour
25.12.2014,0.0,rainhour
26.12.2014,0.0,rainhour
27.12.2014,0.0,rainhour
28.12.2014,0.0,rainhour
29.12.2014,0.0,rainhour
30.12.2014,0.0,rainhour
31.12.2014,0.0,rainhour
01.01.2015,76.5,rainhour
02.01.2015,0.3,rainhour
03.01.2015,0.3,rainhour
04.01.2015,0.3,rainhour
05.01.2015,0.0,rainhour
06.01.2015,0.0,rainhour
07.01.2015,0.0,rainhour
08.01.2015,0.0,rainhour
09.01.2015,2.1,rainhour
10.01.2015,1.8,rainhour
11.01.2015,0.6,rainhour
12.01.2015,1.2,rainhour
13.01.2015,0.0,rainhour
14.01.2015,0.3,rainhour
15.01.2015,0.3,rainhour
16.01.2015,0.3,rainhour
17.01.2015,0.0,rainhour
18.01.2015,0.0,rainhour
19.01.2015,0.0,rainhour
20.01.2015,0.3,rainhour
21.01.2015,0.9,rainhour
22.01.2015,0.9,rainhour
23.01.2015,0.0,rainhour
24.01.2015,0.0,rainhour
25.01.2015,0.3,rainhour
26.01.2015,0.3,rainhour
27.01.2015,0.0,rainhour
28.01.2015,0.0,rainhour
29.01.2015,0.0,rainhour
30.01.2015,0.0,rainhour
31.01.2015,0.0,rainhour
01.02.2015,0.0,rainhour
02.02.2015,0.0,rainhour
03.02.2015,0.3,rainhour
04.02.2015,1.2,rainhour
05.02.2015,0.9,rainhour
06.02.2015,0.3,rainhour
07.02.2015,0.0,rainhour
08.02.2015,0.3,rainhour
09.02.2015,0.0,rainhour
10.02.2015,0.9,rainhour
11.02.2015,5.1,rainhour
12.02.2015,0.0,rainhour
13.02.2015,0.0,rainhour
14.02.2015,0.0,rainhour
15.02.2015,0.0,rainhour
16.02.2015,0.0,rainhour
17.02.2015,0.0,rainhour
18.02.2015,0.0,rainhour
19.02.2015,0.0,rainhour
20.02.2015,0.0,rainhour
21.02.2015,3.6,rainhour
22.02.2015,0.3,rainhour
23.02.2015,0.9,rainhour
24.02.2015,1.8,rainhour
25.02.2015,0.3,rainhour
26.02.2015,0.3,rainhour
27.02.2015,3.6,rainhour
28.02.2015,0.3,rainhour
01.03.2015,0.3,rainhour
02.03.2015,2.4,rainhour
03.03.2015,0.3,rainhour
04.03.2015,0.3,rainhour
05.03.2015,7.8,rainhour
06.03.2015,0.0,rainhour
07.03.2015,0.0,rainhour
08.03.2015,0.0,rainhour
09.03.2015,0.0,rainhour
10.03.2015,0.0,rainhour
11.03.2015,7.8,rainhour
12.03.2015,0.0,rainhour
13.03.2015,0.0,rainhour
14.03.2015,7.8,rainhour
15.03.2015,0.3,rainhour
16.03.2015,0.0,rainhour
17.03.2015,0.0,rainhour
18.03.2015,0.0,rainhour
19.03.2015,0.0,rainhour
20.03.2015,0.0,rainhour
21.03.2015,451.5,rainhour
22.03.2015,0.0,rainhour
23.03.2015,0.0,rainhour
24.03.2015,0.0,rainhour
25.03.2015,0.0,rainhour
26.03.2015,0.6,rainhour
27.03.2015,2.7,rainhour
28.03.2015,0.3,rainhour
29.03.2015,0.3,rainhour
30.03.2015,1.2,rainhour
31.03.2015,0.3,rainhour
01.04.2015,4.5,rainhour
02.04.2015,0.9,rainhour
03.04.2015,0.9,rainhour
04.04.2015,0.0,rainhour
05.04.2015,0.0,rainhour
06.04.2015,0.0,rainhour
07.04.2015,0.0,rainhour
08.04.2015,1.5,rainhour
09.04.2015,0.0,rainhour
10.04.2015,0.0,rainhour
11.04.2015,0.0,rainhour
12.04.2015,0.0,rainhour
13.04.2015,0.3,rainhour
