date,value,data_type
26.11.2014,2.2,windchill
27.11.2014,-2.4,windchill
28.11.2014,-1.8,windchill
29.11.2014,-0.5,windchill
30.11.2014,-5.0,windchill
01.12.2014,-2.2,windchill
02.12.2014,1.5,windchill
03.12.2014,1.7,windchill
04.12.2014,1.7,windchill
05.12.2014,0.0,windchill
06.12.2014,2.9,windchill
07.12.2014,2.6,windchill
08.12.2014,1.3,windchill
09.12.2014,-0.8,windchill
10.12.2014,-4.9,windchill
11.12.2014,-2.6,windchill
12.12.2014,-1.0,windchill
13.12.2014,-2.3,windchill
14.12.2014,-0.1,windchill
15.12.2014,1.1,windchill
16.12.2014,4.1,windchill
17.12.2014,-0.3,windchill
18.12.2014,0.3,windchill
19.12.2014,2.3,windchill
20.12.2014,-0.4,windchill
21.12.2014,-1.4,windchill
22.12.2014,-0.2,windchill
23.12.2014,4.9,windchill
24.12.2014,-0.3,windchill
25.12.2014,-2.2,windchill
26.12.2014,-6.4,windchill
27.12.2014,-6.4,windchill
28.12.2014,-10.1,windchill
29.12.2014,-13.5,windchill
30.12.2014,-14.5,windchill
31.12.2014,-14.8,windchill
01.01.2015,-8.1,windchill
02.01.2015,-9.3,windchill
03.01.2015,-5.3,windchill
04.01.2015,-8.0,windchill
05.01.2015,-13.2,windchill
06.01.2015,-10.2,windchill
07.01.2015,-10.2,windchill
08.01.2015,-10.6,windchill
09.01.2015,-12.0,windchill
10.01.2015,-1.7,windchill
11.01.2015,-4.7,windchill
12.01.2015,-5.7,windchill
13.01.2015,-5.5,windchill
14.01.2015,-7.1,windchill
15.01.2015,-3.3,windchill
16.01.2015,-4.1,windchill
17.01.2015,-2.3,windchill
18.01.2015,-4.5,windchill
19.01.2015,-2.6,windchill
20.01.2015,-1.2,windchill
21.01.2015,-1.2,windchill
22.01.2015,0.1,windchill
23.01.2015,-0.1,windchill
24.01.2015,-3.2,windchill
25.01.2015,-4.6,windchill
26.01.2015,-2.6,windchill
27.01.2015,-5.1,windchill
28.01.2015,-5.3,windchill
29.01.2015,-6.0,windchill
30.01.2015,-8.5,windchill
31.01.2015,-9.0,windchill
01.02.2015,-10.4,windchill
02.02.2015,-12.0,windchill
03.02.2015,-12.3,windchill
04.02.2015,-8.6,windchill
05.02.2015,-13.8,windchill
06.02.2015,-14.3,windchill
07.02.2015,-16.1,windchill
08.02.2015,-12.3,windchill
09.02.2015,-11.0,windchill
10.02.2015,-8.1,windchill
11.02.2015,-6.5,windchill
12.02.2015,-2.1,windchill
13.02.2015,-6.7,windchill
14.02.2015,-6.7,windchill
15.02.2015,-6.7,windchill
16.02.2015,-8.6,windchill
17.02.2015,-12.6,windchill
18.02.2015,-16.5,windchill
19.02.2015,-12.3,windchill
20.02.2015,-6.7,windchill
21.02.2015,-7.9,windchill
22.02.2015,-3.3,windchill
23.02.2015,-0.2,windchill
24.02.2015,0.1,windchill
25.02.2015,-0.6,windchill
26.02.2015,0.7,windchill
27.02.2015,-0.6,windchill
28.02.2015,-3.1,windchill
01.03.2015,0.7,windchill
02.03.2015,-2.4,windchill
03.03.2015,-6.7,windchill
04.03.2015,-6.2,windchill
05.03.2015,-6.8,windchill
06.03.2015,-6.2,windchill
07.03.2015,-8.5,windchill
08.03.2015,-7.3,windchill
09.03.2015,-6.8,windchill
10.03.2015,-5.9,windchill
11.03.2015,-5.3,windchill
12.03.2015,-1.4,windchill
13.03.2015,-0.6,windchill
14.03.2015,-3.3,windchill
15.03.2015,-1.5,windchill
16.03.2015,-1.8,windchill
17.03.2015,-4.2,windchill
18.03.2015,-5.1,windchill
19.03.2015,-5.9,windchill
20.03.2015,-5.9,windchill
21.03.2015,-6.4,windchill
22.03.2015,-2.5,windchill
23.03.2015,-3.2,windchill
24.03.2015,-4.9,windchill
25.03.2015,2.9,windchill
26.03.2015,4.2,windchill
27.03.2015,4.2,windchill
28.03.2015,-1.6,windchill
29.03.2015,-2.7,windchill
30.03.2015,-1.5,windchill
31.03.2015,-7.4,windchill
01.04.2015,-7.0,windchill
02.04.2015,-7.0,windchill
03.04.2015,-7.5,windchill
04.04.2015,-5.7,windchill
05.04.2015,-6.1,windchill
06.04.2015,-6.4,windchill
07.04.2015,-3.0,windchill
08.04.2015,-0.8,windchill
09.04.2015,-4.2,windchill
10.04.2015,-2.8,windchill
11.04.2015,-3.2,windchill
12.04.2015,-0.6,windchill
13.04.2015,0.0,windchill
14.04.2015,1.3,windchill
15.04.2015,0.6,windchill
16.04.2015,0.4,windchill
17.04.2015,4.8,windchill
18.04.2015,-1.2,windchill
19.04.2015,-1.8,windchill
20.04.2015,-1.3,windchill
21.04.2015,-2.4,windchill
22.04.2015,0.6,windchill
23.04.2015,-1.0,windchill
24.04.2015,0.2,windchill
25.04.2015,0.7,windchill
26.04.2015,3.6,windchill
27.04.2015,3.5,windchill
28.04.2015,6.8,windchill
29.04.2015,2.2,windchill
30.04.2015,1.6,windchill
01.05.2015,0.4,windchill
02.05.2015,3.1,windchill
03.05.2015,1.0,windchill
04.05.2015,6.7,windchill
05.05.2015,9.6,windchill
06.05.2015,9.7,windchill
07.05.2015,8.1,windchill
08.05.2015,3.2,windchill
09.05.2015,9.7,windchill
10.05.2015,8.3,windchill
11.05.2015,4.8,windchill
12.05.2015,3.3,windchill
13.05.2015,8.0,windchill
14.05.2015,5.3,windchill
15.05.2015,1.4,windchill
16.05.2015,4.8,windchill
17.05.2015,7.8,windchill
18.05.2015,3.0,windchill
