date,value,data_type
26.11.2014,2.5,windgust
27.11.2014,7.2,windgust
28.11.2014,11.2,windgust
29.11.2014,8.6,windgust
30.11.2014,14.8,windgust
01.12.2014,15.8,windgust
02.12.2014,2.5,windgust
03.12.2014,1.1,windgust
04.12.2014,1.1,windgust
05.12.2014,6.1,windgust
06.12.2014,7.2,windgust
07.12.2014,7.2,windgust
08.12.2014,12.2,windgust
09.12.2014,23.4,windgust
10.12.2014,12.2,windgust
11.12.2014,8.6,windgust
12.12.2014,9.7,windgust
13.12.2014,7.2,windgust
14.12.2014,7.2,windgust
15.12.2014,9.7,windgust
16.12.2014,6.1,windgust
17.12.2014,22.0,windgust
18.12.2014,81.0,windgust
19.12.2014,8.6,windgust
20.12.2014,49.0,windgust
21.12.2014,31.7,windgust
22.12.2014,35.6,windgust
23.12.2014,36.7,windgust
24.12.2014,36.7,windgust
25.12.2014,40.3,windgust
26.12.2014,30.6,windgust
27.12.2014,9.7,windgust
28.12.2014,28.1,windgust
29.12.2014,37.8,windgust
30.12.2014,20.9,windgust
31.12.2014,9.7,windgust
01.01.2015,22.0,windgust
02.01.2015,15.8,windgust
03.01.2015,34.2,windgust
04.01.2015,50.0,windgust
05.01.2015,39.2,windgust
06.01.2015,45.4,windgust
07.01.2015,2.5,windgust
08.01.2015,20.9,windgust
09.01.2015,42.8,windgust
10.01.2015,40.3,windgust
11.01.2015,51.5,windgust
12.01.2015,61.0,windgust
13.01.2015,11.2,windgust
14.01.2015,13.3,windgust
15.01.2015,13.3,windgust
16.01.2015,72.0,windgust
17.01.2015,8.6,windgust
18.01.2015,8.6,windgust
19.01.2015,6.1,windgust
20.01.2015,9.7,windgust
21.01.2015,7.2,windgust
22.01.2015,6.1,windgust
23.01.2015,8.6,windgust
24.01.2015,35.6,windgust
25.01.2015,17.3,windgust
26.01.2015,8.6,windgust
27.01.2015,8.6,windgust
28.01.2015,20.9,windgust
29.01.2015,15.8,windgust
30.01.2015,31.7,windgust
31.01.2015,12.2,windgust
01.02.2015,5.0,windgust
02.02.2015,7.2,windgust
03.02.2015,6.1,windgust
04.02.2015,6.1,windgust
05.02.2015,9.7,windgust
06.02.2015,33.1,windgust
07.02.2015,7.2,windgust
08.02.2015,49.0,windgust
09.02.2015,30.6,windgust
10.02.2015,15.8,windgust
11.02.2015,7.2,windgust
12.02.2015,17.3,windgust
13.02.2015,9.7,windgust
14.02.2015,9.7,windgust
15.02.2015,9.7,windgust
16.02.2015,19.4,windgust
17.02.2015,17.3,windgust
18.02.2015,68.0,windgust
19.02.2015,15.8,windgust
20.02.2015,23.4,windgust
21.02.2015,24.5,windgust
22.02.2015,14.8,windgust
23.02.2015,7.2,windgust
24.02.2015,6.1,windgust
25.02.2015,23.4,windgust
26.02.2015,29.5,windgust
27.02.2015,14.8,windgust
28.02.2015,11.2,windgust
