date,value,data_type
26.11.2014,89.0,maxhum
27.11.2014,91.0,maxhum
28.11.2014,87.0,maxhum
29.11.2014,91.0,maxhum
30.11.2014,91.0,maxhum
01.12.2014,96.0,maxhum
02.12.2014,97.0,maxhum
03.12.2014,97.0,maxhum
04.12.2014,97.0,maxhum
05.12.2014,99.0,maxhum
06.12.2014,99.0,maxhum
07.12.2014,99.0,maxhum
08.12.2014,87.0,maxhum
09.12.2014,88.0,maxhum
10.12.2014,79.0,maxhum
11.12.2014,81.0,maxhum
12.12.2014,81.0,maxhum
13.12.2014,80.0,maxhum
14.12.2014,79.0,maxhum
15.12.2014,82.0,maxhum
16.12.2014,83.0,maxhum
17.12.2014,84.0,maxhum
18.12.2014,79.0,maxhum
19.12.2014,83.0,maxhum
20.12.2014,82.0,maxhum
21.12.2014,70.0,maxhum
22.12.2014,67.0,maxhum
23.12.2014,65.0,maxhum
24.12.2014,71.0,maxhum
25.12.2014,68.0,maxhum
26.12.2014,64.0,maxhum
27.12.2014,55.0,maxhum
28.12.2014,59.0,maxhum
29.12.2014,42.0,maxhum
30.12.2014,42.0,maxhum
31.12.2014,41.0,maxhum
01.01.2015,52.0,maxhum
02.01.2015,69.0,maxhum
03.01.2015,69.0,maxhum
04.01.2015,66.0,maxhum
05.01.2015,64.0,maxhum
06.01.2015,43.0,maxhum
07.01.2015,32.0,maxhum
08.01.2015,65.0,maxhum
09.01.2015,82.0,maxhum
10.01.2015,84.0,maxhum
11.01.2015,75.0,maxhum
12.01.2015,73.0,maxhum
13.01.2015,73.0,maxhum
14.01.2015,75.0,maxhum
15.01.2015,77.0,maxhum
16.01.2015,75.0,maxhum
17.01.2015,79.0,maxhum
18.01.2015,78.0,maxhum
19.01.2015,74.0,maxhum
20.01.2015,76.0,maxhum
21.01.2015,75.0,maxhum
22.01.2015,81.0,maxhum
23.01.2015,80.0,maxhum
24.01.2015,72.0,maxhum
25.01.2015,70.0,maxhum
26.01.2015,70.0,maxhum
27.01.2015,67.0,maxhum
28.01.2015,67.0,maxhum
29.01.2015,65.0,maxhum
30.01.2015,75.0,maxhum
31.01.2015,75.0,maxhum
01.02.2015,69.0,maxhum
02.02.2015,68.0,maxhum
03.02.2015,65.0,maxhum
04.02.2015,70.0,maxhum
05.02.2015,69.0,maxhum
06.02.2015,60.0,maxhum
07.02.2015,53.0,maxhum
08.02.2015,66.0,maxhum
09.02.2015,60.0,maxhum
10.02.2015,65.0,maxhum
11.02.2015,70.0,maxhum
12.02.2015,71.0,maxhum
13.02.2015,70.0,maxhum
14.02.2015,70.0,maxhum
15.02.2015,70.0,maxhum
16.02.2015,70.0,maxhum
17.02.2015,55.0,maxhum
18.02.2015,48.0,maxhum
19.02.2015,52.0,maxhum
20.02.2015,58.0,maxhum
21.02.2015,61.0,maxhum
22.02.2015,69.0,maxhum
23.02.2015,75.0,maxhum
24.02.2015,77.0,maxhum
25.02.2015,77.0,maxhum
26.02.2015,73.0,maxhum
27.02.2015,73.0,maxhum
28.02.2015,73.0,maxhum
01.03.2015,74.0,maxhum
02.03.2015,76.0,maxhum
03.03.2015,74.0,maxhum
04.03.2015,66.0,maxhum
05.03.2015,61.0,maxhum
06.03.2015,59.0,maxhum
07.03.2015,59.0,maxhum
08.03.2015,59.0,maxhum
09.03.2015,61.0,maxhum
10.03.2015,66.0,maxhum
11.03.2015,71.0,maxhum
12.03.2015,62.0,maxhum
13.03.2015,64.0,maxhum
14.03.2015,77.0,maxhum
15.03.2015,81.0,maxhum
16.03.2015,76.0,maxhum
17.03.2015,71.0,maxhum
18.03.2015,69.0,maxhum
19.03.2015,66.0,maxhum
20.03.2015,66.0,maxhum
21.03.2015,69.0,maxhum
22.03.2015,69.0,maxhum
23.03.2015,64.0,maxhum
24.03.2015,71.0,maxhum
25.03.2015,76.0,maxhum
26.03.2015,81.0,maxhum
27.03.2015,82.0,maxhum
28.03.2015,80.0,maxhum
29.03.2015,76.0,maxhum
30.03.2015,82.0,maxhum
31.03.2015,76.0,maxhum
01.04.2015,76.0,maxhum
02.04.2015,74.0,maxhum
03.04.2015,72.0,maxhum
04.04.2015,64.0,maxhum
05.04.2015,66.0,maxhum
06.04.2015,60.0,maxhum
07.04.2015,55.0,maxhum
08.04.2015,61.0,maxhum
09.04.2015,67.0,maxhum
10.04.2015,69.0,maxhum
11.04.2015,69.0,maxhum
12.04.2015,74.0,maxhum
13.04.2015,77.0,maxhum
14.04.2015,53.0,maxhum
15.04.2015,66.0,maxhum
16.04.2015,77.0,maxhum
