date,value,data_type
26.11.2014,1016.1,minpres
27.11.2014,1013.0,minpres
28.11.2014,1012.5,minpres
29.11.2014,1013.1,minpres
30.11.2014,1011.8,minpres
01.12.2014,1007.2,minpres
02.12.2014,1006.7,minpres
03.12.2014,1012.4,minpres
04.12.2014,1016.4,minpres
05.12.2014,1010.1,minpres
06.12.2014,1011.9,minpres
07.12.2014,1009.2,minpres
08.12.2014,1007.8,minpres
09.12.2014,1011.1,minpres
10.12.2014,1012.6,minpres
11.12.2014,1009.6,minpres
12.12.2014,1009.5,minpres
13.12.2014,1010.5,minpres
14.12.2014,1013.9,minpres
15.12.2014,1013.5,minpres
16.12.2014,1009.0,minpres
17.12.2014,1010.1,minpres
18.12.2014,1007.9,minpres
19.12.2014,1008.8,minpres
20.12.2014,1008.5,minpres
21.12.2014,1008.8,minpres
22.12.2014,1009.7,minpres
23.12.2014,1009.7,minpres
24.12.2014,1010.5,minpres
25.12.2014,1010.2,minpres
26.12.2014,1012.1,minpres
27.12.2014,1003.4,minpres
28.12.2014,1001.8,minpres
29.12.2014,1010.3,minpres
30.12.2014,1018.3,minpres
31.12.2014,1024.8,minpres
01.01.2015,1024.5,minpres
02.01.2015,1016.1,minpres
03.01.2015,1006.1,minpres
04.01.2015,1004.6,minpres
05.01.2015,1012.2,minpres
06.01.2015,1014.6,minpres
07.01.2015,1023.5,minpres
08.01.2015,1011.5,minpres
09.01.2015,1002.1,minpres
10.01.2015,1000.3,minpres
11.01.2015,1000.0,minpres
12.01.2015,1008.9,minpres
13.01.2015,1015.5,minpres
14.01.2015,1010.3,minpres
15.01.2015,1010.9,minpres
16.01.2015,1011.9,minpres
17.01.2015,984.7,minpres
18.01.2015,1011.3,minpres
19.01.2015,1011.5,minpres
20.01.2015,1011.9,minpres
21.01.2015,913.2,minpres
22.01.2015,1014.0,minpres
23.01.2015,1012.4,minpres
24.01.2015,1008.4,minpres
25.01.2015,1009.6,minpres
26.01.2015,1017.0,minpres
27.01.2015,1012.6,minpres
28.01.2015,1006.6,minpres
29.01.2015,993.6,minpres
30.01.2015,974.5,minpres
31.01.2015,973.9,minpres
01.02.2015,992.0,minpres
02.02.2015,994.8,minpres
03.02.2015,1000.4,minpres
04.02.2015,1006.8,minpres
05.02.2015,1013.5,minpres
06.02.2015,1015.5,minpres
07.02.2015,1009.9,minpres
08.02.2015,1002.8,minpres
09.02.2015,1010.3,minpres
10.02.2015,1013.0,minpres
11.02.2015,1022.6,minpres
12.02.2015,1025.8,minpres
13.02.2015,1023.0,minpres
14.02.2015,1023.5,minpres
15.02.2015,1024.3,minpres
16.02.2015,1022.9,minpres
17.02.2015,1029.1,minpres
18.02.2015,1033.7,minpres
19.02.2015,1025.0,minpres
20.02.2015,1017.2,minpres
21.02.2015,1007.1,minpres
22.02.2015,1007.0,minpres
23.02.2015,1004.4,minpres
24.02.2015,1004.9,minpres
25.02.2015,1009.4,minpres
26.02.2015,1014.1,minpres
27.02.2015,1013.4,minpres
28.02.2015,1015.2,minpres
01.03.2015,1009.9,minpres
02.03.2015,1004.6,minpres
03.03.2015,1010.8,minpres
04.03.2015,1020.4,minpres
05.03.2015,1024.7,minpres
06.03.2015,1027.6,minpres
07.03.2015,1030.9,minpres
08.03.2015,1028.5,minpres
09.03.2015,1025.9,minpres
10.03.2015,1020.7,minpres
11.03.2015,1015.5,minpres
12.03.2015,1017.9,minpres
13.03.2015,1016.3,minpres
14.03.2015,1017.4,minpres
15.03.2015,1026.4,minpres
16.03.2015,1032.4,minpres
17.03.2015,1028.4,minpres
18.03.2015,1023.2,minpres
19.03.2015,1022.1,minpres
20.03.2015,1020.7,minpres
21.03.2015,1012.5,minpres
22.03.2015,1013.8,minpres
23.03.2015,1015.4,minpres
24.03.2015,1013.2,minpres
25.03.2015,1010.8,minpres
26.03.2015,1010.0,minpres
27.03.2015,1007.4,minpres
28.03.2015,1011.9,minpres
29.03.2015,1003.2,minpres
30.03.2015,996.6,minpres
31.03.2015,998.9,minpres
01.04.2015,1000.9,minpres
02.04.2015,1001.4,minpres
03.04.2015,1007.0,minpres
04.04.2015,1010.8,minpres
05.04.2015,1012.7,minpres
06.04.2015,1016.4,minpres
07.04.2015,1021.7,minpres
08.04.2015,1020.3,minpres
09.04.2015,1026.0,minpres
10.04.2015,1023.7,minpres
11.04.2015,1020.6,minpres
12.04.2015,1023.4,minpres
13.04.2015,1020.1,minpres
14.04.2015,1021.1,minpres
15.04.2015,1015.2,minpres
16.04.2015,1009.9,minpres
17.04.2015,1008.5,minpres
18.04.2015,1009.6,minpres
19.04.2015,1017.8,minpres
20.04.2015,1013.4,minpres
21.04.2015,1016.6,minpres
22.04.2015,1018.1,minpres
23.04.2015,1015.4,minpres
24.04.2015,1014.9,minpres
25.04.2015,1012.9,minpres
26.04.2015,1009.8,minpres
27.04.2015,1006.9,minpres
28.04.2015,1005.4,minpres
29.04.2015,1009.4,minpres
30.04.2015,1014.8,minpres
01.05.2015,1007.2,minpres
02.05.2015,1005.7,minpres
03.05.2015,1013.8,minpres
04.05.2015,1013.3,minpres
05.05.2015,1013.2,minpres
06.05.2015,1009.0,minpres
07.05.2015,1012.5,minpres
08.05.2015,1016.9,minpres
09.05.2015,1017.2,minpres
10.05.2015,1019.2,minpres
11.05.2015,1023.7,minpres
12.05.2015,1021.0,minpres
13.05.2015,1013.0,minpres
14.05.2015,1007.8,minpres
15.05.2015,1012.5,minpres
16.05.2015,1017.7,minpres
17.05.2015,1018.9,minpres
18.05.2015,1013.4,minpres
19.05.2015,1009.5,minpres
20.05.2015,1009.8,minpres
21.05.2015,1013.0,minpres
22.05.2015,1017.4,minpres
23.05.2015,1012.0,minpres
24.05.2015,1014.3,minpres
25.05.2015,1008.3,minpres
26.05.2015,1007.4,minpres
27.05.2015,1008.9,minpres
28.05.2015,1015.3,minpres
29.05.2015,1013.6,minpres
30.05.2015,1013.8,minpres
31.05.2015,1017.3,minpres
01.06.2015,1018.7,minpres
02.06.2015,1020.2,minpres
03.06.2015,1020.5,minpres
04.06.2015,1022.1,minpres
05.06.2015,1023.5,minpres
06.06.2015,1023.9,minpres
07.06.2015,1023.8,minpres
08.06.2015,1017.6,minpres
09.06.2015,1017.2,minpres
10.06.2015,1020.2,minpres
11.06.2015,1019.2,minpres
12.06.2015,1016.0,minpres
13.06.2015,1012.4,minpres
14.06.2015,1010.7,minpres
15.06.2015,1010.0,minpres
16.06.2015,1014.2,minpres
17.06.2015,1017.4,minpres
18.06.2015,1012.1,minpres
19.06.2015,1011.4,minpres
20.06.2015,1012.8,minpres
21.06.2015,1014.7,minpres
22.06.2015,1013.7,minpres
23.06.2015,1010.8,minpres
24.06.2015,1016.3,minpres
25.06.2015,1020.5,minpres
26.06.2015,1018.2,minpres
27.06.2015,1015.0,minpres
28.06.2015,1015.7,minpres
29.06.2015,1019.5,minpres
