date,value,data_type
26.11.2014,0.0,rainfall
27.11.2014,0.0,rainfall
28.11.2014,0.3,rainfall
29.11.2014,0.0,rainfall
30.11.2014,0.0,rainfall
01.12.2014,6.0,rainfall
02.12.2014,0.3,rainfall
03.12.2014,0.0,rainfall
04.12.2014,0.0,rainfall
05.12.2014,0.0,rainfall
06.12.2014,0.0,rainfall
07.12.2014,0.0,rainfall
08.12.2014,5.1,rainfall
09.12.2014,0.0,rainfall
10.12.2014,0.0,rainfall
11.12.2014,0.3,rainfall
12.12.2014,8.7,rainfall
13.12.2014,0.3,rainfall
14.12.2014,0.0,rainfall
15.12.2014,0.0,rainfall
16.12.2014,0.0,rainfall
17.12.2014,0.3,rainfall
18.12.2014,0.3,rainfall
19.12.2014,0.9,rainfall
20.12.2014,0.6,rainfall
21.12.2014,2.4,rainfall
22.12.2014,0.0,rainfall
23.12.2014,0.0,rainfall
24.12.2014,0.0,rainfall
25.12.2014,0.0,rainfall
26.12.2014,0.0,rainfall
27.12.2014,0.0,rainfall
28.12.2014,0.0,rainfall
29.12.2014,0.0,rainfall
30.12.2014,0.0,rainfall
31.12.2014,0.0,rainfall
01.01.2015,0.0,rainfall
02.01.2015,0.3,rainfall
03.01.2015,0.3,rainfall
04.01.2015,0.3,rainfall
05.01.2015,0.0,rainfall
06.01.2015,0.0,rainfall
07.01.2015,0.0,rainfall
08.01.2015,0.0,rainfall
09.01.2015,7.8,rainfall
10.01.2015,3.9,rainfall
11.01.2015,0.6,rainfall
12.01.2015,7.5,rainfall
13.01.2015,0.0,rainfall
14.01.2015,0.9,rainfall
15.01.2015,0.3,rainfall
16.01.2015,7.8,rainfall
17.01.2015,0.0,rainfall
18.01.2015,0.0,rainfall
19.01.2015,0.0,rainfall
20.01.2015,0.3,rainfall
21.01.2015,0.9,rainfall
22.01.2015,2.4,rainfall
23.01.2015,0.0,rainfall
24.01.2015,0.0,rainfall
25.01.2015,0.6,rainfall
26.01.2015,0.3,rainfall
27.01.2015,0.0,rainfall
28.01.2015,0.0,rainfall
29.01.2015,0.0,rainfall
30.01.2015,0.0,rainfall
31.01.2015,0.0,rainfall
01.02.2015,0.0,rainfall
02.02.2015,0.0,rainfall
03.02.2015,0.9,rainfall
04.02.2015,1.8,rainfall
05.02.2015,1.2,rainfall
06.02.2015,0.3,rainfall
07.02.2015,0.0,rainfall
08.02.2015,0.3,rainfall
09.02.2015,0.0,rainfall
10.02.2015,1.2,rainfall
11.02.2015,5.1,rainfall
12.02.2015,0.0,rainfall
13.02.2015,0.0,rainfall
14.02.2015,0.0,rainfall
15.02.2015,0.0,rainfall
16.02.2015,0.0,rainfall
17.02.2015,0.0,rainfall
18.02.2015,0.0,rainfall
19.02.2015,0.0,rainfall
20.02.2015,0.0,rainfall
21.02.2015,0.0,rainfall
22.02.2015,0.3,rainfall
23.02.2015,2.4,rainfall
24.02.2015,3.3,rainfall
25.02.2015,0.3,rainfall
26.02.2015,0.3,rainfall
27.02.2015,3.9,rainfall
28.02.2015,0.3,rainfall
01.03.2015,0.6,rainfall
02.03.2015,6.9,rainfall
03.03.2015,0.6,rainfall
04.03.2015,8.1,rainfall
05.03.2015,0.0,rainfall
06.03.2015,0.0,rainfall
07.03.2015,0.0,rainfall
08.03.2015,0.0,rainfall
09.03.2015,0.0,rainfall
10.03.2015,0.0,rainfall
11.03.2015,7.8,rainfall
12.03.2015,0.0,rainfall
13.03.2015,0.0,rainfall
14.03.2015,10.5,rainfall
15.03.2015,0.0,rainfall
16.03.2015,0.0,rainfall
17.03.2015,0.0,rainfall
18.03.2015,0.0,rainfall
19.03.2015,0.0,rainfall
20.03.2015,0.0,rainfall
21.03.2015,0.0,rainfall
22.03.2015,0.0,rainfall
23.03.2015,0.0,rainfall
24.03.2015,0.0,rainfall
25.03.2015,0.0,rainfall
26.03.2015,1.5,rainfall
27.03.2015,5.1,rainfall
28.03.2015,0.0,rainfall
29.03.2015,0.6,rainfall
30.03.2015,5.4,rainfall
31.03.2015,0.3,rainfall
01.04.2015,11.7,rainfall
02.04.2015,1.8,rainfall
03.04.2015,1.2,rainfall
04.04.2015,0.0,rainfall
05.04.2015,0.0,rainfall
06.04.2015,0.0,rainfall
07.04.2015,0.0,rainfall
08.04.2015,0.0,rainfall
09.04.2015,0.0,rainfall
10.04.2015,0.0,rainfall
11.04.2015,0.0,rainfall
12.04.2015,0.0,rainfall
13.04.2015,0.3,rainfall
14.04.2015,0.0,rainfall
15.04.2015,0.0,rainfall
16.04.2015,0.0,rainfall
17.04.2015,1.8,rainfall
18.04.2015,0.0,rainfall
19.04.2015,0.0,rainfall
20.04.2015,0.3,rainfall
21.04.2015,0.0,rainfall
22.04.2015,0.0,rainfall
23.04.2015,0.0,rainfall
24.04.2015,0.0,rainfall
25.04.2015,0.0,rainfall
26.04.2015,0.3,rainfall
27.04.2015,0.0,rainfall
28.04.2015,0.0,rainfall
29.04.2015,0.0,rainfall
30.04.2015,0.0,rainfall
01.05.2015,0.3,rainfall
02.05.2015,2.1,rainfall
03.05.2015,0.0,rainfall
04.05.2015,1.8,rainfall
05.05.2015,0.9,rainfall
06.05.2015,0.0,rainfall
07.05.2015,0.0,rainfall
08.05.2015,0.3,rainfall
09.05.2015,2.4,rainfall
10.05.2015,1.2,rainfall
11.05.2015,0.0,rainfall
12.05.2015,0.0,rainfall
13.05.2015,0.0,rainfall
14.05.2015,6.9,rainfall
15.05.2015,0.0,rainfall
16.05.2015,0.0,rainfall
17.05.2015,0.0,rainfall
18.05.2015,0.0,rainfall
19.05.2015,0.0,rainfall
20.05.2015,23.1,rainfall
21.05.2015,14.7,rainfall
22.05.2015,0.3,rainfall
23.05.2015,6.3,rainfall
24.05.2015,6.0,rainfall
25.05.2015,3.3,rainfall
26.05.2015,11.4,rainfall
27.05.2015,0.0,rainfall
28.05.2015,0.0,rainfall
29.05.2015,0.0,rainfall
30.05.2015,0.0,rainfall
31.05.2015,0.3,rainfall
01.06.2015,0.0,rainfall
02.06.2015,6.0,rainfall
03.06.2015,0.0,rainfall
04.06.2015,0.0,rainfall
05.06.2015,0.0,rainfall
06.06.2015,0.0,rainfall
07.06.2015,0.0,rainfall
08.06.2015,0.0,rainfall
09.06.2015,0.0,rainfall
10.06.2015,13.8,rainfall
11.06.2015,0.0,rainfall
12.06.2015,0.0,rainfall
13.06.2015,0.0,rainfall
14.06.2015,0.0,rainfall
15.06.2015,1.5,rainfall
16.06.2015,1.5,rainfall
17.06.2015,0.0,rainfall
18.06.2015,0.0,rainfall
19.06.2015,3.3,rainfall
20.06.2015,0.3,rainfall
21.06.2015,0.0,rainfall
22.06.2015,0.0,rainfall
23.06.2015,1.5,rainfall
24.06.2015,0.0,rainfall
25.06.2015,0.0,rainfall
26.06.2015,0.0,rainfall
27.06.2015,0.0,rainfall
28.06.2015,0.9,rainfall
29.06.2015,0.0,rainfall
30.06.2015,0.0,rainfall
01.07.2015,0.0,rainfall
02.07.2015,0.0,rainfall
03.07.2015,0.0,rainfall
04.07.2015,0.0,rainfall
05.07.2015,0.0,rainfall
06.07.2015,0.0,rainfall
07.07.2015,0.0,rainfall
08.07.2015,3.3,rainfall
09.07.2015,0.3,rainfall
10.07.2015,0.0,rainfall
11.07.2015,0.0,rainfall
12.07.2015,1.8,rainfall
13.07.2015,2.4,rainfall
14.07.2015,0.0,rainfall
15.07.2015,0.0,rainfall
16.07.2015,0.0,rainfall
17.07.2015,2.1,rainfall
18.07.2015,27.0,rainfall
19.07.2015,0.0,rainfall
20.07.2015,11.1,rainfall
21.07.2015,0.0,rainfall
22.07.2015,0.0,rainfall
23.07.2015,3.9,rainfall
24.07.2015,15.0,rainfall
25.07.2015,13.2,rainfall
26.07.2015,1.5,rainfall
27.07.2015,1.5,rainfall
28.07.2015,0.0,rainfall
29.07.2015,0.0,rainfall
30.07.2015,0.0,rainfall
31.07.2015,0.0,rainfall
01.08.2015,0.0,rainfall
02.08.2015,0.3,rainfall
03.08.2015,0.6,rainfall
04.08.2015,1.2,rainfall
05.08.2015,0.3,rainfall
06.08.2015,0.3,rainfall
07.08.2015,0.0,rainfall
08.08.2015,0.0,rainfall
09.08.2015,0.0,rainfall
10.08.2015,0.0,rainfall
11.08.2015,0.0,rainfall
12.08.2015,0.0,rainfall
