date,value,data_type
26.11.2014,0.0,rainrate
27.11.2014,0.0,rainrate
28.11.2014,3.6,rainrate
29.11.2014,0.0,rainrate
30.11.2014,0.0,rainrate
01.12.2014,3.6,rainrate
02.12.2014,3.6,rainrate
03.12.2014,0.0,rainrate
04.12.2014,0.0,rainrate
05.12.2014,0.0,rainrate
06.12.2014,0.0,rainrate
07.12.2014,0.0,rainrate
08.12.2014,3.6,rainrate
09.12.2014,0.0,rainrate
10.12.2014,0.0,rainrate
11.12.2014,3.6,rainrate
12.12.2014,64.7,rainrate
13.12.2014,3.6,rainrate
14.12.2014,0.0,rainrate
15.12.2014,0.0,rainrate
16.12.2014,0.0,rainrate
17.12.2014,3.6,rainrate
18.12.2014,3.6,rainrate
19.12.2014,3.6,rainrate
20.12.2014,3.6,rainrate
21.12.2014,3.6,rainrate
22.12.2014,0.0,rainrate
23.12.2014,0.0,rainrate
24.12.2014,0.0,rainrate
25.12.2014,0.0,rainrate
26.12.2014,0.0,rainrate
27.12.2014,0.0,rainrate
28.12.2014,0.0,rainrate
29.12.2014,0.0,rainrate
30.12.2014,0.0,rainrate
31.12.2014,0.0,rainrate
01.01.2015,48.0,rainrate
02.01.2015,3.6,rainrate
03.01.2015,3.6,rainrate
04.01.2015,3.6,rainrate
05.01.2015,0.0,rainrate
06.01.2015,0.0,rainrate
07.01.2015,0.0,rainrate
08.01.2015,0.0,rainrate
09.01.2015,10.8,rainrate
10.01.2015,3.6,rainrate
11.01.2015,3.6,rainrate
12.01.2015,3.6,rainrate
13.01.2015,0.0,rainrate
14.01.2015,3.6,rainrate
15.01.2015,3.6,rainrate
16.01.2015,89.8,rainrate
17.01.2015,0.0,rainrate
18.01.2015,0.0,rainrate
19.01.2015,0.0,rainrate
20.01.2015,3.6,rainrate
21.01.2015,3.6,rainrate
22.01.2015,3.6,rainrate
23.01.2015,0.0,rainrate
24.01.2015,0.0,rainrate
25.01.2015,3.6,rainrate
26.01.2015,3.6,rainrate
27.01.2015,0.0,rainrate
28.01.2015,0.0,rainrate
29.01.2015,0.0,rainrate
