date,value,data_type
26.11.2014,4.1,windrun
27.11.2014,17.5,windrun
28.11.2014,11.1,windrun
29.11.2014,7.3,windrun
30.11.2014,64.3,windrun
01.12.2014,32.3,windrun
02.12.2014,0.0,windrun
03.12.2014,0.0,windrun
04.12.2014,0.0,windrun
05.12.2014,11.1,windrun
06.12.2014,7.1,windrun
07.12.2014,20.6,windrun
08.12.2014,16.7,windrun
09.12.2014,30.6,windrun
10.12.2014,20.2,windrun
11.12.2014,13.5,windrun
12.12.2014,12.7,windrun
13.12.2014,10.3,windrun
14.12.2014,8.9,windrun
15.12.2014,12.8,windrun
16.12.2014,7.1,windrun
17.12.2014,55.3,windrun
18.12.2014,14.1,windrun
19.12.2014,11.2,windrun
20.12.2014,194.6,windrun
21.12.2014,160.1,windrun
22.12.2014,161.6,windrun
23.12.2014,216.4,windrun
24.12.2014,105.2,windrun
25.12.2014,154.2,windrun
26.12.2014,101.0,windrun
27.12.2014,12.6,windrun
28.12.2014,80.8,windrun
29.12.2014,217.3,windrun
30.12.2014,56.1,windrun
31.12.2014,27.2,windrun
01.01.2015,35.8,windrun
02.01.2015,22.1,windrun
03.01.2015,161.0,windrun
04.01.2015,195.9,windrun
05.01.2015,191.3,windrun
06.01.2015,160.8,windrun
07.01.2015,0.0,windrun
08.01.2015,40.6,windrun
09.01.2015,115.3,windrun
10.01.2015,108.7,windrun
11.01.2015,282.9,windrun
12.01.2015,112.6,windrun
13.01.2015,29.3,windrun
14.01.2015,20.0,windrun
15.01.2015,22.4,windrun
16.01.2015,24.9,windrun
17.01.2015,12.7,windrun
18.01.2015,19.9,windrun
19.01.2015,3.7,windrun
20.01.2015,15.6,windrun
21.01.2015,9.7,windrun
22.01.2015,6.0,windrun
23.01.2015,20.1,windrun
24.01.2015,161.9,windrun
25.01.2015,55.5,windrun
26.01.2015,7.6,windrun
27.01.2015,23.1,windrun
28.01.2015,55.5,windrun
29.01.2015,71.2,windrun
30.01.2015,126.5,windrun
31.01.2015,13.9,windrun
01.02.2015,8.1,windrun
02.02.2015,15.8,windrun
03.02.2015,14.6,windrun
04.02.2015,12.1,windrun
05.02.2015,19.0,windrun
06.02.2015,114.8,windrun
07.02.2015,28.8,windrun
08.02.2015,146.9,windrun
09.02.2015,105.3,windrun
10.02.2015,33.0,windrun
11.02.2015,16.6,windrun
12.02.2015,35.8,windrun
13.02.2015,22.1,windrun
14.02.2015,22.1,windrun
15.02.2015,22.1,windrun
16.02.2015,51.6,windrun
17.02.2015,30.1,windrun
18.02.2015,30.7,windrun
19.02.2015,29.6,windrun
20.02.2015,44.5,windrun
21.02.2015,36.9,windrun
22.02.2015,21.3,windrun
23.02.2015,8.9,windrun
24.02.2015,9.7,windrun
25.02.2015,53.5,windrun
26.02.2015,99.2,windrun
27.02.2015,23.6,windrun
28.02.2015,29.8,windrun
01.03.2015,30.9,windrun
02.03.2015,25.8,windrun
03.03.2015,122.7,windrun
04.03.2015,73.2,windrun
05.03.2015,65.8,windrun
06.03.2015,59.8,windrun
07.03.2015,43.0,windrun
08.03.2015,44.5,windrun
09.03.2015,61.7,windrun
10.03.2015,48.6,windrun
11.03.2015,61.9,windrun
12.03.2015,147.0,windrun
13.03.2015,100.2,windrun
14.03.2015,61.1,windrun
15.03.2015,67.4,windrun
16.03.2015,57.5,windrun
17.03.2015,63.7,windrun
18.03.2015,50.1,windrun
19.03.2015,85.7,windrun
20.03.2015,51.7,windrun
21.03.2015,61.3,windrun
22.03.2015,103.1,windrun
23.03.2015,68.7,windrun
24.03.2015,53.7,windrun
25.03.2015,61.4,windrun
26.03.2015,84.9,windrun
27.03.2015,78.7,windrun
28.03.2015,102.3,windrun
29.03.2015,86.9,windrun
30.03.2015,169.1,windrun
31.03.2015,53.4,windrun
01.04.2015,170.4,windrun
02.04.2015,90.9,windrun
03.04.2015,150.5,windrun
04.04.2015,56.3,windrun
05.04.2015,76.7,windrun
06.04.2015,96.1,windrun
07.04.2015,175.0,windrun
08.04.2015,143.9,windrun
09.04.2015,59.8,windrun
10.04.2015,77.0,windrun
11.04.2015,57.4,windrun
12.04.2015,81.1,windrun
13.04.2015,167.6,windrun
14.04.2015,163.5,windrun
15.04.2015,107.7,windrun
16.04.2015,129.9,windrun
17.04.2015,28.0,windrun
18.04.2015,226.9,windrun
