date,value,data_type
26.11.2014,1.1,windspeed
27.11.2014,6.1,windspeed
28.11.2014,4.1,windspeed
29.11.2014,4.2,windspeed
30.11.2014,7.4,windspeed
01.12.2014,5.9,windspeed
02.12.2014,0.0,windspeed
03.12.2014,0.0,windspeed
04.12.2014,0.0,windspeed
05.12.2014,2.5,windspeed
06.12.2014,3.3,windspeed
07.12.2014,4.0,windspeed
08.12.2014,6.0,windspeed
09.12.2014,8.9,windspeed
10.12.2014,6.3,windspeed
11.12.2014,3.9,windspeed
12.12.2014,3.5,windspeed
13.12.2014,2.6,windspeed
14.12.2014,3.8,windspeed
15.12.2014,6.0,windspeed
16.12.2014,2.0,windspeed
17.12.2014,11.2,windspeed
18.12.2014,4.0,windspeed
19.12.2014,3.3,windspeed
20.12.2014,21.2,windspeed
21.12.2014,16.4,windspeed
22.12.2014,17.4,windspeed
23.12.2014,18.1,windspeed
24.12.2014,17.0,windspeed
25.12.2014,19.8,windspeed
26.12.2014,19.3,windspeed
27.12.2014,3.7,windspeed
28.12.2014,13.9,windspeed
29.12.2014,23.9,windspeed
30.12.2014,8.8,windspeed
31.12.2014,6.3,windspeed
01.01.2015,8.2,windspeed
02.01.2015,7.7,windspeed
03.01.2015,26.8,windspeed
04.01.2015,29.1,windspeed
05.01.2015,19.5,windspeed
06.01.2015,23.3,windspeed
07.01.2015,0.0,windspeed
08.01.2015,10.2,windspeed
09.01.2015,18.8,windspeed
10.01.2015,18.2,windspeed
11.01.2015,26.6,windspeed
12.01.2015,15.7,windspeed
13.01.2015,5.6,windspeed
14.01.2015,4.8,windspeed
15.01.2015,5.2,windspeed
16.01.2015,16.2,windspeed
17.01.2015,2.9,windspeed
18.01.2015,24.4,windspeed
19.01.2015,2.5,windspeed
20.01.2015,5.3,windspeed
21.01.2015,3.0,windspeed
22.01.2015,2.1,windspeed
23.01.2015,4.7,windspeed
24.01.2015,16.2,windspeed
25.01.2015,9.2,windspeed
26.01.2015,3.7,windspeed
27.01.2015,3.4,windspeed
28.01.2015,10.2,windspeed
29.01.2015,7.6,windspeed
30.01.2015,12.5,windspeed
31.01.2015,11.2,windspeed
01.02.2015,3.6,windspeed
02.02.2015,5.0,windspeed
03.02.2015,3.6,windspeed
04.02.2015,3.5,windspeed
05.02.2015,4.8,windspeed
06.02.2015,16.0,windspeed
07.02.2015,4.1,windspeed
08.02.2015,24.2,windspeed
09.02.2015,12.2,windspeed
10.02.2015,6.6,windspeed
11.02.2015,3.0,windspeed
12.02.2015,8.3,windspeed
13.02.2015,4.3,windspeed
14.02.2015,4.3,windspeed
15.02.2015,4.3,windspeed
16.02.2015,11.6,windspeed
17.02.2015,7.9,windspeed
18.02.2015,8.8,windspeed
19.02.2015,8.4,windspeed
20.02.2015,12.1,windspeed
21.02.2015,11.9,windspeed
22.02.2015,8.4,windspeed
23.02.2015,3.3,windspeed
24.02.2015,2.7,windspeed
25.02.2015,10.2,windspeed
26.02.2015,18.0,windspeed
27.02.2015,9.8,windspeed
28.02.2015,6.6,windspeed
01.03.2015,9.6,windspeed
02.03.2015,5.2,windspeed
03.03.2015,17.2,windspeed
04.03.2015,16.7,windspeed
05.03.2015,12.9,windspeed
06.03.2015,9.6,windspeed
07.03.2015,8.9,windspeed
08.03.2015,8.7,windspeed
09.03.2015,13.2,windspeed
10.03.2015,9.2,windspeed
11.03.2015,13.6,windspeed
12.03.2015,15.9,windspeed
13.03.2015,12.0,windspeed
14.03.2015,20.6,windspeed
15.03.2015,10.0,windspeed
16.03.2015,9.8,windspeed
17.03.2015,13.8,windspeed
18.03.2015,9.3,windspeed
19.03.2015,16.4,windspeed
20.03.2015,12.3,windspeed
21.03.2015,15.7,windspeed
22.03.2015,16.5,windspeed
23.03.2015,11.9,windspeed
24.03.2015,14.9,windspeed
25.03.2015,10.4,windspeed
26.03.2015,11.1,windspeed
27.03.2015,11.5,windspeed
28.03.2015,17.6,windspeed
29.03.2015,13.6,windspeed
30.03.2015,28.1,windspeed
31.03.2015,21.5,windspeed
01.04.2015,23.3,windspeed
02.04.2015,12.8,windspeed
03.04.2015,19.2,windspeed
04.04.2015,11.7,windspeed
05.04.2015,18.1,windspeed
06.04.2015,15.9,windspeed
07.04.2015,19.7,windspeed
08.04.2015,19.1,windspeed
09.04.2015,8.0,windspeed
10.04.2015,14.4,windspeed
11.04.2015,10.2,windspeed
12.04.2015,14.2,windspeed
13.04.2015,24.6,windspeed
14.04.2015,18.8,windspeed
15.04.2015,16.5,windspeed
16.04.2015,23.7,windspeed
17.04.2015,6.1,windspeed
18.04.2015,26.7,windspeed
19.04.2015,13.5,windspeed
20.04.2015,22.9,windspeed
21.04.2015,21.4,windspeed
22.04.2015,16.5,windspeed
23.04.2015,11.5,windspeed
24.04.2015,16.6,windspeed
25.04.2015,14.5,windspeed
26.04.2015,17.7,windspeed
27.04.2015,13.7,windspeed
28.04.2015,13.0,windspeed
29.04.2015,20.9,windspeed
30.04.2015,11.2,windspeed
01.05.2015,11.3,windspeed
02.05.2015,14.1,windspeed
03.05.2015,8.2,windspeed
04.05.2015,9.0,windspeed
05.05.2015,17.8,windspeed
06.05.2015,19.5,windspeed
07.05.2015,18.6,windspeed
08.05.2015,12.0,windspeed
09.05.2015,12.3,windspeed
10.05.2015,22.3,windspeed
11.05.2015,19.8,windspeed
12.05.2015,14.7,windspeed
13.05.2015,16.4,windspeed
14.05.2015,18.8,windspeed
15.05.2015,14.0,windspeed
16.05.2015,16.0,windspeed
17.05.2015,21.1,windspeed
18.05.2015,14.0,windspeed
19.05.2015,14.6,windspeed
20.05.2015,21.4,windspeed
21.05.2015,7.8,windspeed
22.05.2015,16.1,windspeed
23.05.2015,11.2,windspeed
24.05.2015,11.5,windspeed
25.05.2015,17.1,windspeed
26.05.2015,16.2,windspeed
27.05.2015,30.9,windspeed
28.05.2015,9.9,windspeed
29.05.2015,29.8,windspeed
30.05.2015,13.4,windspeed
31.05.2015,13.3,windspeed
01.06.2015,8.6,windspeed
02.06.2015,16.0,windspeed
03.06.2015,12.2,windspeed
04.06.2015,10.7,windspeed
05.06.2015,11.6,windspeed
06.06.2015,12.0,windspeed
07.06.2015,12.0,windspeed
08.06.2015,21.3,windspeed
09.06.2015,13.6,windspeed
10.06.2015,17.1,windspeed
11.06.2015,18.4,windspeed
12.06.2015,13.0,windspeed
13.06.2015,13.9,windspeed
14.06.2015,14.7,windspeed
15.06.2015,19.6,windspeed
16.06.2015,17.3,windspeed
17.06.2015,8.9,windspeed
18.06.2015,11.8,windspeed
19.06.2015,16.3,windspeed
20.06.2015,15.6,windspeed
21.06.2015,14.5,windspeed
22.06.2015,11.6,windspeed
23.06.2015,8.5,windspeed
24.06.2015,12.9,windspeed
25.06.2015,12.4,windspeed
26.06.2015,11.7,windspeed
27.06.2015,8.2,windspeed
28.06.2015,15.2,windspeed
29.06.2015,13.7,windspeed
30.06.2015,12.8,windspeed
01.07.2015,12.8,windspeed
02.07.2015,8.7,windspeed
03.07.2015,7.6,windspeed
04.07.2015,8.5,windspeed
05.07.2015,11.5,windspeed
06.07.2015,12.8,windspeed
07.07.2015,16.9,windspeed
08.07.2015,17.5,windspeed
09.07.2015,19.7,windspeed
10.07.2015,18.3,windspeed
11.07.2015,11.9,windspeed
12.07.2015,12.8,windspeed
13.07.2015,30.5,windspeed
14.07.2015,13.6,windspeed
15.07.2015,14.9,windspeed
16.07.2015,24.5,windspeed
17.07.2015,13.8,windspeed
18.07.2015,16.7,windspeed
19.07.2015,15.4,windspeed
20.07.2015,15.7,windspeed
21.07.2015,11.5,windspeed
22.07.2015,12.1,windspeed
23.07.2015,17.2,windspeed
24.07.2015,16.8,windspeed
25.07.2015,25.3,windspeed
26.07.2015,14.4,windspeed
27.07.2015,11.4,windspeed
28.07.2015,13.7,windspeed
29.07.2015,10.9,windspeed
30.07.2015,11.7,windspeed
31.07.2015,13.2,windspeed
01.08.2015,8.8,windspeed
02.08.2015,4.6,windspeed
03.08.2015,6.9,windspeed
04.08.2015,12.3,windspeed
05.08.2015,8.4,windspeed
06.08.2015,10.0,windspeed
07.08.2015,10.6,windspeed
08.08.2015,8.1,windspeed
09.08.2015,8.0,windspeed
10.08.2015,6.8,windspeed
11.08.2015,14.8,windspeed
12.08.2015,11.2,windspeed
13.08.2015,13.4,windspeed
14.08.2015,7.2,windspeed
15.08.2015,18.4,windspeed
16.08.2015,11.2,windspeed
17.08.2015,12.2,windspeed
18.08.2015,7.9,windspeed
19.08.2015,9.0,windspeed
20.08.2015,11.7,windspeed
21.08.2015,15.1,windspeed
22.08.2015,12.5,windspeed
23.08.2015,10.8,windspeed
24.08.2015,9.3,windspeed
25.08.2015,5.2,windspeed
26.08.2015,7.8,windspeed
27.08.2015,10.0,windspeed
28.08.2015,5.0,windspeed
29.08.2015,18.4,windspeed
30.08.2015,11.2,windspeed
31.08.2015,13.1,windspeed
01.09.2015,18.4,windspeed
02.09.2015,19.2,windspeed
03.09.2015,10.2,windspeed
04.09.2015,14.2,windspeed
05.09.2015,7.9,windspeed
06.09.2015,20.9,windspeed
07.09.2015,17.2,windspeed
08.09.2015,11.3,windspeed
09.09.2015,13.0,windspeed
10.09.2015,11.2,windspeed
11.09.2015,7.7,windspeed
12.09.2015,44.9,windspeed
13.09.2015,8.1,windspeed
14.09.2015,9.1,windspeed
15.09.2015,9.5,windspeed
16.09.2015,14.4,windspeed
17.09.2015,14.4,windspeed
18.09.2015,1.8,windspeed
19.09.2015,17.3,windspeed
20.09.2015,11.2,windspeed
21.09.2015,12.2,windspeed
22.09.2015,10.6,windspeed
23.09.2015,8.1,windspeed
24.09.2015,14.8,windspeed
25.09.2015,7.5,windspeed
26.09.2015,4.6,windspeed
27.09.2015,11.7,windspeed
28.09.2015,15.9,windspeed
29.09.2015,20.7,windspeed
30.09.2015,18.8,windspeed
01.10.2015,5.3,windspeed
02.10.2015,5.3,windspeed
03.10.2015,11.2,windspeed
04.10.2015,9.9,windspeed
05.10.2015,4.8,windspeed
06.10.2015,7.8,windspeed
07.10.2015,10.2,windspeed
08.10.2015,8.8,windspeed
09.10.2015,12.1,windspeed
10.10.2015,11.8,windspeed
11.10.2015,18.6,windspeed
12.10.2015,10.3,windspeed
13.10.2015,5.9,windspeed
14.10.2015,6.5,windspeed
