date,value,data_type
26.11.2014,2.6,maxtemp
26.11.2014,2.2,mintemp
26.11.2014,2.3,avgtemp
26.11.2014,2.6,heatdex
26.11.2014,0.6,highapp
26.11.2014,0.0,lowapp
26.11.2014,0.6,highdew
26.11.2014,0.1,lowdew
26.11.2014,0.0,rainfall
26.11.2014,0.0,rainhour
26.11.2014,0.0,rainrate
26.11.2014,1017.0,maxpres
26.11.2014,1016.1,minpres
26.11.2014,2.2,windchill
26.11.2014,2.5,windgust
26.11.2014,1.1,windspeed
26.11.2014,4.1,windrun
26.11.2014,89.0,maxhum
26.11.2014,84.0,minhum
27.11.2014,3.3,maxtemp
27.11.2014,-2.4,mintemp
27.11.2014,-0.5,avgtemp
27.11.2014,3.3,heatdex
27.11.2014,0.6,highapp
27.11.2014,-5.2,lowapp
27.11.2014,0.5,highdew
27.11.2014,-5.2,lowdew
27.11.2014,0.0,rainfall
27.11.2014,0.0,rainhour
27.11.2014,0.0,rainrate
27.11.2014,1015.9,maxpres
27.11.2014,1013.0,minpres
27.11.2014,-2.4,windchill
27.11.2014,7.2,windgust
27.11.2014,6.1,windspeed
27.11.2014,17.5,windrun
27.11.2014,91.0,maxhum
27.11.2014,68.0,minhum
28.11.2014,2.4,maxtemp
28.11.2014,-1.8,mintemp
28.11.2014,0.9,avgtemp
28.11.2014,2.4,heatdex
28.11.2014,0.4,highapp
28.11.2014,-5.1,lowapp
28.11.2014,0.5,highdew
28.11.2014,-4.5,lowdew
28.11.2014,0.3,rainfall
28.11.2014,0.0,rainhour
28.11.2014,3.6,rainrate
28.11.2014,1015.0,maxpres
28.11.2014,1012.5,minpres
28.11.2014,-1.8,windchill
28.11.2014,11.2,windgust
28.11.2014,4.1,windspeed
28.11.2014,11.1,windrun
28.11.2014,87.0,maxhum
28.11.2014,79.0,minhum
29.11.2014,4.3,maxtemp
29.11.2014,-0.5,mintemp
29.11.2014,2.6,avgtemp
29.11.2014,4.3,heatdex
29.11.2014,2.6,highapp
29.11.2014,-2.8,lowapp
29.11.2014,2.0,highdew
29.11.2014,-1.9,lowdew
29.11.2014,0.0,rainfall
29.11.2014,0.0,rainhour
29.11.2014,0.0,rainrate
29.11.2014,1015.0,maxpres
29.11.2014,1013.1,minpres
29.11.2014,-0.5,windchill
29.11.2014,8.6,windgust
29.11.2014,4.2,windspeed
29.11.2014,7.3,windrun
29.11.2014,91.0,maxhum
29.11.2014,83.0,minhum
30.11.2014,2.5,maxtemp
30.11.2014,-2.7,mintemp
30.11.2014,-0.2,avgtemp
30.11.2014,2.5,heatdex
30.11.2014,0.2,highapp
30.11.2014,-6.3,lowapp
30.11.2014,-0.5,highdew
30.11.2014,-5.7,lowdew
30.11.2014,0.0,rainfall
30.11.2014,0.0,rainhour
30.11.2014,0.0,rainrate
30.11.2014,1014.2,maxpres
30.11.2014,1011.8,minpres
30.11.2014,-5.0,windchill
30.11.2014,14.8,windgust
30.11.2014,7.4,windspeed
30.11.2014,64.3,windrun
30.11.2014,91.0,maxhum
30.11.2014,75.0,minhum
01.12.2014,3.4,maxtemp
01.12.2014,-0.2,mintemp
01.12.2014,1.5,avgtemp
01.12.2014,3.4,heatdex
01.12.2014,1.5,highapp
01.12.2014,-3.9,lowapp
01.12.2014,1.1,highdew
01.12.2014,-4.3,lowdew
01.12.2014,6.0,rainfall
01.12.2014,0.0,rainhour
01.12.2014,3.6,rainrate
01.12.2014,1012.4,maxpres
01.12.2014,1007.2,minpres
01.12.2014,-2.2,windchill
01.12.2014,15.8,windgust
01.12.2014,5.9,windspeed
01.12.2014,32.3,windrun
01.12.2014,96.0,maxhum
01.12.2014,73.0,minhum
02.12.2014,1.7,maxtemp
02.12.2014,1.5,mintemp
02.12.2014,1.7,avgtemp
02.12.2014,1.7,heatdex
02.12.2014,-0.1,highapp
02.12.2014,-0.3,lowapp
02.12.2014,1.3,highdew
02.12.2014,0.9,lowdew
02.12.2014,0.3,rainfall
02.12.2014,0.0,rainhour
02.12.2014,3.6,rainrate
02.12.2014,1012.5,maxpres
02.12.2014,1006.7,minpres
02.12.2014,1.5,windchill
02.12.2014,2.5,windgust
02.12.2014,0.0,windspeed
02.12.2014,0.0,windrun
02.12.2014,97.0,maxhum
02.12.2014,96.0,minhum
03.12.2014,1.7,maxtemp
03.12.2014,1.7,mintemp
03.12.2014,1.7,avgtemp
03.12.2014,1.7,heatdex
03.12.2014,-0.1,highapp
03.12.2014,-0.1,lowapp
03.12.2014,1.3,highdew
03.12.2014,1.3,lowdew
03.12.2014,0.0,rainfall
03.12.2014,0.0,rainhour
03.12.2014,0.0,rainrate
03.12.2014,1017.0,maxpres
03.12.2014,1012.4,minpres
03.12.2014,1.7,windchill
03.12.2014,1.1,windgust
03.12.2014,0.0,windspeed
03.12.2014,0.0,windrun
03.12.2014,97.0,maxhum
03.12.2014,97.0,minhum
04.12.2014,1.7,maxtemp
04.12.2014,1.7,mintemp
04.12.2014,1.7,avgtemp
04.12.2014,1.7,heatdex
04.12.2014,-0.1,highapp
04.12.2014,-0.1,lowapp
04.12.2014,1.3,highdew
04.12.2014,1.3,lowdew
04.12.2014,0.0,rainfall
04.12.2014,0.0,rainhour
04.12.2014,0.0,rainrate
04.12.2014,1017.1,maxpres
04.12.2014,1016.4,minpres
04.12.2014,1.7,windchill
04.12.2014,1.1,windgust
04.12.2014,0.0,windspeed
